date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAL vs. LAC",L,15,2,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,0,0,5,0,2,-7, LAL vs. LAC,201580
2019-12-22,"Dec 22, 2019 - LAL vs. DEN",L,18,7,3,6,50.0,1,1,100.0,0,1,0.0,2,3,5,1,0,2,1,4,-7, LAL vs. DEN,201580
2019-12-19,"Dec 19, 2019 - LAL @ MIL",L,17,4,2,2,100.0,0,0,0.0,0,0,0.0,1,2,3,0,0,2,1,3,6, LAL @ MIL,201580
2019-12-17,"Dec 17, 2019 - LAL @ IND",L,22,10,5,8,62.5,0,0,0.0,0,0,0.0,4,4,8,1,0,3,1,2,0, LAL @ IND,201580
2019-12-15,"Dec 15, 2019 - LAL @ ATL",W,15,3,1,2,50.0,0,0,0.0,1,2,50.0,3,2,5,1,1,1,5,1,0, LAL @ ATL,201580
2019-12-13,"Dec 13, 2019 - LAL @ MIA",W,17,9,4,5,80.0,0,0,0.0,1,3,33.3,3,7,10,1,1,5,0,3,11, LAL @ MIA,201580
2019-12-11,"Dec 11, 2019 - LAL @ ORL",W,14,8,3,3,100.0,0,0,0.0,2,2,100.0,1,3,4,0,0,0,0,4,-3, LAL @ ORL,201580
2019-12-08,"Dec 08, 2019 - LAL vs. MIN",W,16,6,3,3,100.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,4,13, LAL vs. MIN,201580
2019-12-06,"Dec 06, 2019 - LAL @ POR",W,15,13,6,7,85.7,0,0,0.0,1,1,100.0,1,2,3,0,0,2,0,3,5, LAL @ POR,201580
2019-12-04,"Dec 04, 2019 - LAL @ UTA",W,14,8,4,8,50.0,0,0,0.0,0,0,0.0,3,2,5,0,2,1,0,3,-1, LAL @ UTA,201580
2019-12-03,"Dec 03, 2019 - LAL @ DEN",W,14,4,2,5,40.0,0,0,0.0,0,0,0.0,2,4,6,0,0,1,1,3,-6, LAL @ DEN,201580
2019-12-01,"Dec 01, 2019 - LAL vs. DAL",L,16,4,2,5,40.0,0,0,0.0,0,0,0.0,4,6,10,0,1,1,0,1,-4, LAL vs. DAL,201580
2019-11-29,"Nov 29, 2019 - LAL vs. WAS",W,22,15,5,7,71.4,0,0,0.0,5,6,83.3,1,10,11,2,1,2,3,5,3, LAL vs. WAS,201580
2019-11-27,"Nov 27, 2019 - LAL @ NOP",W,13,4,2,4,50.0,0,0,0.0,0,0,0.0,1,6,7,0,1,0,1,2,-6, LAL @ NOP,201580
2019-11-25,"Nov 25, 2019 - LAL @ SAS",W,22,8,4,5,80.0,0,0,0.0,0,0,0.0,0,5,5,0,0,1,0,2,5, LAL @ SAS,201580
2019-11-23,"Nov 23, 2019 - LAL @ MEM",W,14,5,1,1,100.0,0,0,0.0,3,4,75.0,0,4,4,0,0,0,0,0,-2, LAL @ MEM,201580
2019-11-22,"Nov 22, 2019 - LAL @ OKC",W,18,8,4,9,44.4,0,0,0.0,0,0,0.0,3,4,7,1,0,1,0,3,6, LAL @ OKC,201580
2019-11-19,"Nov 19, 2019 - LAL vs. OKC",W,23,8,3,5,60.0,0,0,0.0,2,4,50.0,4,2,6,0,1,4,0,4,-5, LAL vs. OKC,201580
2019-11-17,"Nov 17, 2019 - LAL vs. ATL",W,15,2,1,2,50.0,0,0,0.0,0,0,0.0,2,5,7,0,2,2,0,2,11, LAL vs. ATL,201580
2019-11-15,"Nov 15, 2019 - LAL vs. SAC",W,12,2,1,5,20.0,0,0,0.0,0,0,0.0,3,4,7,1,0,0,0,1,4, LAL vs. SAC,201580
2019-11-13,"Nov 13, 2019 - LAL vs. GSW",W,28,18,8,12,66.7,0,0,0.0,2,2,100.0,5,12,17,2,3,3,2,2,30, LAL vs. GSW,201580
2019-11-12,"Nov 12, 2019 - LAL @ PHX",W,11,11,5,5,100.0,0,0,0.0,1,3,33.3,1,2,3,3,0,1,2,2,-3, LAL @ PHX,201580
2019-11-10,"Nov 10, 2019 - LAL vs. TOR",L,14,10,5,11,45.5,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,3,3, LAL vs. TOR,201580
2019-11-08,"Nov 08, 2019 - LAL vs. MIA",W,16,9,4,7,57.1,0,0,0.0,1,1,100.0,3,7,10,1,1,1,1,1,20, LAL vs. MIA,201580
2019-11-05,"Nov 05, 2019 - LAL @ CHI",W,17,10,4,4,100.0,0,0,0.0,2,3,66.7,2,4,6,3,1,2,1,0,1, LAL @ CHI,201580
2019-11-03,"Nov 03, 2019 - LAL @ SAS",W,11,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,0,2,0,4,-1, LAL @ SAS,201580
2019-11-01,"Nov 01, 2019 - LAL @ DAL",W,12,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,3,1, LAL @ DAL,201580
2019-10-29,"Oct 29, 2019 - LAL vs. MEM",W,29,10,5,7,71.4,0,0,0.0,0,1,0.0,1,8,9,1,0,1,2,3,7, LAL vs. MEM,201580
2019-10-27,"Oct 27, 2019 - LAL vs. CHA",W,16,10,5,8,62.5,0,0,0.0,0,1,0.0,2,2,4,1,1,0,0,2,-8, LAL vs. CHA,201580
2019-10-25,"Oct 25, 2019 - LAL vs. UTA",W,12,0,0,1,0.0,0,0,0.0,0,0,0.0,4,0,4,0,0,0,3,1,-4, LAL vs. UTA,201580
2019-10-22,"Oct 22, 2019 - LAL @ LAC",L,17,4,2,3,66.7,0,0,0.0,0,0,0.0,1,1,2,0,0,2,1,0,0, LAL @ LAC,201580
2019-04-09,"Apr 09, 2019 - LAL vs. POR",L,19,11,5,6,83.3,0,0,0.0,1,4,25.0,1,3,4,1,0,1,3,6,-8, LAL vs. POR,201580
2019-04-07,"Apr 07, 2019 - LAL vs. UTA",W,26,22,10,16,62.5,0,2,0.0,2,2,100.0,3,5,8,3,1,2,2,3,-5, LAL vs. UTA,201580
2019-04-05,"Apr 05, 2019 - LAL @ LAC",W,26,18,9,12,75.0,0,1,0.0,0,2,0.0,2,8,10,0,0,3,2,5,5, LAL @ LAC,201580
2019-04-04,"Apr 04, 2019 - LAL vs. GSW",L,21,8,4,8,50.0,0,0,0.0,0,0,0.0,5,8,13,1,0,3,1,2,-28, LAL vs. GSW,201580
2019-04-02,"Apr 02, 2019 - LAL @ OKC",L,25,10,5,10,50.0,0,1,0.0,0,1,0.0,2,6,8,1,1,0,4,4,-24, LAL @ OKC,201580
2019-03-31,"Mar 31, 2019 - LAL @ NOP",W,33,23,9,15,60.0,0,0,0.0,5,7,71.4,6,10,16,3,1,1,1,4,18, LAL @ NOP,201580
2019-03-29,"Mar 29, 2019 - LAL vs. CHA",W,27,10,4,6,66.7,0,0,0.0,2,2,100.0,3,6,9,2,0,2,1,3,12, LAL vs. CHA,201580
2019-03-27,"Mar 27, 2019 - LAL @ UTA",L,30,16,7,15,46.7,0,0,0.0,2,2,100.0,4,9,13,1,0,2,1,3,-20, LAL @ UTA,201580
2019-03-26,"Mar 26, 2019 - LAL vs. WAS",W,32,20,9,11,81.8,0,0,0.0,2,3,66.7,5,10,15,2,2,4,2,4,-1, LAL vs. WAS,201580
2019-03-24,"Mar 24, 2019 - LAL vs. SAC",W,29,17,8,8,100.0,0,0,0.0,1,2,50.0,2,11,13,0,1,5,2,4,16, LAL vs. SAC,201580
