date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-26,"Dec 26, 2019 - UTA vs. POR",W,14,5,2,4,50.0,1,3,33.3,0,0,0.0,1,1,2,0,0,0,0,1,-5, UTA vs. POR,1627777
2019-12-23,"Dec 23, 2019 - UTA @ MIA",L,9,3,1,7,14.3,1,4,25.0,0,0,0.0,0,1,1,0,1,0,0,0,-6, UTA @ MIA,1627777
2019-12-21,"Dec 21, 2019 - UTA @ CHA",W,12,9,3,3,100.0,3,3,100.0,0,0,0.0,2,0,2,0,0,0,1,3,-10, UTA @ CHA,1627777
2019-12-19,"Dec 19, 2019 - UTA @ ATL",W,18,6,3,5,60.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,2,2,-12, UTA @ ATL,1627777
2019-12-17,"Dec 17, 2019 - UTA vs. ORL",W,4,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-8, UTA vs. ORL,1627777
2019-12-13,"Dec 13, 2019 - UTA vs. GSW",W,18,3,1,3,33.3,1,3,33.3,0,0,0.0,0,3,3,1,1,0,0,1,-17, UTA vs. GSW,1627777
2019-12-11,"Dec 11, 2019 - UTA @ MIN",W,15,9,3,3,100.0,3,3,100.0,0,0,0.0,0,2,2,0,0,1,0,0,12, UTA @ MIN,1627777
2019-12-09,"Dec 09, 2019 - UTA vs. OKC",L,19,7,3,7,42.9,1,4,25.0,0,0,0.0,1,2,3,0,1,0,0,2,-9, UTA vs. OKC,1627777
2019-12-07,"Dec 07, 2019 - UTA vs. MEM",W,16,6,2,5,40.0,2,5,40.0,0,0,0.0,0,1,1,1,0,0,2,3,-2, UTA vs. MEM,1627777
2019-12-04,"Dec 04, 2019 - UTA vs. LAL",L,20,6,2,6,33.3,2,4,50.0,0,0,0.0,0,2,2,0,0,0,0,1,-17, UTA vs. LAL,1627777
2019-12-02,"Dec 02, 2019 - UTA @ PHI",L,12,6,3,3,100.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,2,12, UTA @ PHI,1627777
2019-12-01,"Dec 01, 2019 - UTA @ TOR",L,12,1,0,2,0.0,0,1,0.0,1,2,50.0,0,3,3,0,0,0,1,0,1, UTA @ TOR,1627777
2019-11-27,"Nov 27, 2019 - UTA @ IND",L,16,5,2,4,50.0,1,3,33.3,0,0,0.0,0,2,2,1,0,0,3,2,0, UTA @ IND,1627777
2019-11-25,"Nov 25, 2019 - UTA @ MIL",L,17,13,5,11,45.5,3,6,50.0,0,0,0.0,1,4,5,2,0,0,0,2,12, UTA @ MIL,1627777
2019-11-23,"Nov 23, 2019 - UTA vs. NOP",W,8,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,0,0,2,0,0,-11, UTA vs. NOP,1627777
2019-11-20,"Nov 20, 2019 - UTA @ MIN",W,5,1,0,1,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,0,0,1,-10, UTA @ MIN,1627777
2019-11-11,"Nov 11, 2019 - UTA @ GSW",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-3, UTA @ GSW,1627777
2019-11-08,"Nov 08, 2019 - UTA vs. MIL",W,12,2,1,3,33.3,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0, UTA vs. MIL,1627777
2019-11-06,"Nov 06, 2019 - UTA vs. PHI",W,11,1,0,1,0.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,0,4,-17, UTA vs. PHI,1627777
2019-11-03,"Nov 03, 2019 - UTA @ LAC",L,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,-4, UTA @ LAC,1627777
2019-10-30,"Oct 30, 2019 - UTA vs. LAC",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2, UTA vs. LAC,1627777
2019-10-28,"Oct 28, 2019 - UTA @ PHX",W,9,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,2,-3, UTA @ PHX,1627777
2019-10-26,"Oct 26, 2019 - UTA vs. SAC",W,16,12,5,7,71.4,2,4,50.0,0,0,0.0,0,3,3,1,0,0,1,0,1, UTA vs. SAC,1627777
2019-10-25,"Oct 25, 2019 - UTA @ LAL",L,23,10,2,5,40.0,2,5,40.0,4,4,100.0,0,2,2,1,0,0,2,4,-14, UTA @ LAL,1627777
2019-10-23,"Oct 23, 2019 - UTA vs. OKC",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2, UTA vs. OKC,1627777
