date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-21,"Dec 21, 2019 - POR vs. MIN",W,22,0,0,3,0.0,0,2,0.0,0,0,0.0,2,0,2,1,1,0,2,2,-1, POR vs. MIN,201229
2019-12-20,"Dec 20, 2019 - POR vs. ORL",W,19,3,1,2,50.0,1,2,50.0,0,0,0.0,1,0,1,1,1,0,1,5,-6, POR vs. ORL,201229
2019-12-18,"Dec 18, 2019 - POR vs. GSW",W,18,6,2,3,66.7,1,2,50.0,1,1,100.0,0,3,3,2,0,0,0,2,8, POR vs. GSW,201229
2019-12-16,"Dec 16, 2019 - POR @ PHX",W,16,4,1,2,50.0,1,2,50.0,1,2,50.0,1,1,2,2,1,0,2,1,1, POR @ PHX,201229
2019-12-10,"Dec 10, 2019 - POR vs. NYK",W,6,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,0,-2, POR vs. NYK,201229
2019-12-06,"Dec 06, 2019 - POR vs. LAL",L,10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,2,-5, POR vs. LAL,201229
2019-12-03,"Dec 03, 2019 - POR @ LAC",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,-5, POR @ LAC,201229
2019-11-27,"Nov 27, 2019 - POR vs. OKC",W,9,2,1,4,25.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,0,3,-15, POR vs. OKC,201229
2019-11-23,"Nov 23, 2019 - POR @ CLE",L,30,9,3,4,75.0,3,4,75.0,0,0,0.0,0,7,7,1,0,1,0,3,4, POR @ CLE,201229
2019-11-21,"Nov 21, 2019 - POR @ MIL",L,31,8,3,9,33.3,2,6,33.3,0,0,0.0,1,2,3,2,0,1,1,3,-1, POR @ MIL,201229
2019-11-18,"Nov 18, 2019 - POR @ HOU",L,4,2,0,0,0.0,0,0,0.0,2,2,100.0,1,0,1,0,0,0,1,0,-3, POR @ HOU,201229
2019-11-12,"Nov 12, 2019 - POR @ SAC",L,19,3,1,6,16.7,1,6,16.7,0,0,0.0,0,4,4,0,0,0,1,1,-8, POR @ SAC,201229
2019-11-10,"Nov 10, 2019 - POR vs. ATL",W,22,6,2,7,28.6,1,5,20.0,1,2,50.0,2,5,7,0,1,0,2,2,-9, POR vs. ATL,201229
2019-11-08,"Nov 08, 2019 - POR vs. BKN",L,5,0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,-4, POR vs. BKN,201229
2019-11-07,"Nov 07, 2019 - POR @ LAC",L,21,4,1,3,33.3,1,3,33.3,1,1,100.0,0,2,2,1,0,1,1,0,8, POR @ LAC,201229
2019-11-04,"Nov 04, 2019 - POR @ GSW",L,17,3,1,5,20.0,1,4,25.0,0,0,0.0,2,3,5,1,0,1,1,0,-7, POR @ GSW,201229
2019-11-02,"Nov 02, 2019 - POR vs. PHI",L,27,8,2,6,33.3,1,3,33.3,3,4,75.0,1,1,2,1,0,0,1,1,-9, POR vs. PHI,201229
2019-10-30,"Oct 30, 2019 - POR @ OKC",W,26,6,2,5,40.0,2,4,50.0,0,0,0.0,1,4,5,1,1,2,0,2,-3, POR @ OKC,201229
2019-10-28,"Oct 28, 2019 - POR @ SAS",L,29,5,1,4,25.0,1,4,25.0,2,2,100.0,0,10,10,3,1,0,0,1,8, POR @ SAS,201229
