date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-17,"Dec 17, 2019 - UTA vs. ORL",W,19,7,2,8,25.0,0,4,0.0,3,3,100.0,0,0,0,6,1,0,1,3,-9, UTA vs. ORL,201144
2019-12-02,"Dec 02, 2019 - UTA @ PHI",L,23,7,3,9,33.3,1,2,50.0,0,0,0.0,0,2,2,6,1,1,4,1,-15, UTA @ PHI,201144
2019-12-01,"Dec 01, 2019 - UTA @ TOR",L,25,20,7,13,53.8,4,6,66.7,2,2,100.0,2,1,3,2,0,1,1,3,-6, UTA @ TOR,201144
2019-11-29,"Nov 29, 2019 - UTA @ MEM",W,32,8,3,13,23.1,2,4,50.0,0,0,0.0,2,5,7,4,1,0,0,1,15, UTA @ MEM,201144
2019-11-27,"Nov 27, 2019 - UTA @ IND",L,28,5,2,8,25.0,1,3,33.3,0,0,0.0,2,4,6,5,0,0,2,2,-18, UTA @ IND,201144
2019-11-25,"Nov 25, 2019 - UTA @ MIL",L,29,6,2,10,20.0,0,3,0.0,2,2,100.0,0,2,2,9,0,0,3,2,-9, UTA @ MIL,201144
2019-11-23,"Nov 23, 2019 - UTA vs. NOP",W,30,11,2,9,22.2,1,4,25.0,6,7,85.7,1,3,4,5,1,0,1,3,4, UTA vs. NOP,201144
2019-11-22,"Nov 22, 2019 - UTA vs. GSW",W,31,27,9,14,64.3,4,5,80.0,5,6,83.3,0,4,4,4,1,0,1,1,-3, UTA vs. GSW,201144
2019-11-20,"Nov 20, 2019 - UTA @ MIN",W,31,16,6,12,50.0,2,4,50.0,2,2,100.0,1,5,6,8,1,0,0,2,28, UTA @ MIN,201144
2019-11-18,"Nov 18, 2019 - UTA vs. MIN",L,34,15,6,15,40.0,1,4,25.0,2,3,66.7,1,5,6,6,0,0,1,3,-6, UTA vs. MIN,201144
2019-11-15,"Nov 15, 2019 - UTA @ MEM",L,35,15,5,19,26.3,2,8,25.0,3,5,60.0,1,3,4,3,1,0,1,1,7, UTA @ MEM,201144
2019-11-12,"Nov 12, 2019 - UTA vs. BKN",W,30,18,6,15,40.0,0,5,0.0,6,9,66.7,0,4,4,5,0,0,2,1,-3, UTA vs. BKN,201144
2019-11-11,"Nov 11, 2019 - UTA @ GSW",W,31,22,6,11,54.5,5,8,62.5,5,5,100.0,1,0,1,7,0,0,0,1,15, UTA @ GSW,201144
2019-11-08,"Nov 08, 2019 - UTA vs. MIL",W,32,20,7,15,46.7,5,9,55.6,1,2,50.0,1,2,3,3,0,0,2,4,-1, UTA vs. MIL,201144
2019-11-06,"Nov 06, 2019 - UTA vs. PHI",W,34,15,6,15,40.0,1,3,33.3,2,3,66.7,2,4,6,2,2,1,4,0,19, UTA vs. PHI,201144
2019-11-03,"Nov 03, 2019 - UTA @ LAC",L,35,8,2,10,20.0,0,2,0.0,4,5,80.0,0,1,1,1,0,0,5,3,3, UTA @ LAC,201144
2019-11-01,"Nov 01, 2019 - UTA @ SAC",L,33,19,5,13,38.5,3,9,33.3,6,8,75.0,1,3,4,4,4,0,4,2,-5, UTA @ SAC,201144
2019-10-30,"Oct 30, 2019 - UTA vs. LAC",W,32,29,11,17,64.7,5,8,62.5,2,2,100.0,0,1,1,5,2,0,2,3,1, UTA vs. LAC,201144
2019-10-28,"Oct 28, 2019 - UTA @ PHX",W,20,1,0,7,0.0,0,3,0.0,1,2,50.0,0,2,2,1,0,1,3,5,-3, UTA @ PHX,201144
