date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-20,"Dec 20, 2019 - POR vs. ORL",W,11,0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,4,0, POR vs. ORL,1626209
2019-12-16,"Dec 16, 2019 - POR @ PHX",W,5,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,0,-6, POR @ PHX,1626209
2019-12-12,"Dec 12, 2019 - POR @ DEN",L,14,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-10, POR @ DEN,1626209
2019-12-10,"Dec 10, 2019 - POR vs. NYK",W,23,5,2,3,66.7,0,0,0.0,1,2,50.0,3,7,10,1,1,0,1,3,5, POR vs. NYK,1626209
2019-12-08,"Dec 08, 2019 - POR vs. OKC",L,8,2,1,4,25.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,1,-1, POR vs. OKC,1626209
2019-12-06,"Dec 06, 2019 - POR vs. LAL",L,17,4,1,4,25.0,0,2,0.0,2,2,100.0,0,2,2,1,0,0,1,5,-17, POR vs. LAL,1626209
2019-12-03,"Dec 03, 2019 - POR @ LAC",L,8,2,1,3,33.3,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,0,2, POR @ LAC,1626209
2019-11-27,"Nov 27, 2019 - POR vs. OKC",W,8,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,1,-11, POR vs. OKC,1626209
2019-11-25,"Nov 25, 2019 - POR @ CHI",W,7,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,0,-2, POR @ CHI,1626209
2019-11-21,"Nov 21, 2019 - POR @ MIL",L,10,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,4,-2, POR @ MIL,1626209
2019-11-19,"Nov 19, 2019 - POR @ NOP",L,13,7,3,5,60.0,1,1,100.0,0,0,0.0,0,2,2,2,0,0,1,0,-2, POR @ NOP,1626209
2019-11-18,"Nov 18, 2019 - POR @ HOU",L,9,2,1,1,100.0,0,0,0.0,0,0,0.0,0,5,5,0,0,0,1,2,-5, POR @ HOU,1626209
2019-11-16,"Nov 16, 2019 - POR @ SAS",W,16,8,2,4,50.0,1,3,33.3,3,4,75.0,0,3,3,2,0,0,1,3,-10, POR @ SAS,1626209
2019-11-13,"Nov 13, 2019 - POR vs. TOR",L,14,10,2,5,40.0,1,3,33.3,5,6,83.3,1,5,6,0,1,0,1,3,3, POR vs. TOR,1626209
2019-11-12,"Nov 12, 2019 - POR @ SAC",L,22,2,1,4,25.0,0,1,0.0,0,0,0.0,1,2,3,2,0,0,2,1,-1, POR @ SAC,1626209
2019-11-10,"Nov 10, 2019 - POR vs. ATL",W,24,3,1,5,20.0,0,0,0.0,1,1,100.0,1,1,2,3,2,0,2,1,16, POR vs. ATL,1626209
2019-11-08,"Nov 08, 2019 - POR vs. BKN",L,20,6,2,9,22.2,0,1,0.0,2,2,100.0,3,6,9,1,1,0,1,2,-2, POR vs. BKN,1626209
2019-11-07,"Nov 07, 2019 - POR @ LAC",L,25,2,1,9,11.1,0,3,0.0,0,0,0.0,1,4,5,0,1,0,1,3,-16, POR @ LAC,1626209
2019-11-04,"Nov 04, 2019 - POR @ GSW",L,26,11,4,6,66.7,3,5,60.0,0,0,0.0,1,4,5,0,1,0,0,6,5, POR @ GSW,1626209
2019-11-02,"Nov 02, 2019 - POR vs. PHI",L,37,11,4,10,40.0,2,4,50.0,1,2,50.0,2,10,12,4,2,0,2,4,8, POR vs. PHI,1626209
2019-10-30,"Oct 30, 2019 - POR @ OKC",W,20,2,1,1,100.0,0,0,0.0,0,0,0.0,0,6,6,0,0,0,2,2,4, POR @ OKC,1626209
2019-10-28,"Oct 28, 2019 - POR @ SAS",L,19,8,2,7,28.6,2,5,40.0,2,2,100.0,0,6,6,1,1,1,0,2,-11, POR @ SAS,1626209
2019-10-27,"Oct 27, 2019 - POR @ DAL",W,25,4,2,7,28.6,0,1,0.0,0,0,0.0,1,7,8,2,1,1,0,3,6, POR @ DAL,1626209
2019-10-25,"Oct 25, 2019 - POR @ SAC",W,18,5,2,3,66.7,0,1,0.0,1,2,50.0,0,4,4,0,1,0,2,2,-6, POR @ SAC,1626209
2019-10-23,"Oct 23, 2019 - POR vs. DEN",L,18,2,0,3,0.0,0,1,0.0,2,2,100.0,0,4,4,0,0,0,0,2,-7, POR vs. DEN,1626209
2019-04-10,"Apr 10, 2019 - NYK vs. DET",L,21,0,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,4,3,0,6,3,-21, NYK vs. DET,1626209
