date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAL vs. LAC",L,20,7,3,9,33.3,1,5,20.0,0,0,0.0,0,3,3,5,1,0,4,0,-4, LAL vs. LAC,200765
2019-12-22,"Dec 22, 2019 - LAL vs. DEN",L,28,5,2,8,25.0,1,4,25.0,0,0,0.0,2,2,4,8,3,0,2,3,-7, LAL vs. DEN,200765
2019-12-19,"Dec 19, 2019 - LAL @ MIL",L,18,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,3,1,0,5,3,-11, LAL @ MIL,200765
2019-12-17,"Dec 17, 2019 - LAL @ IND",L,26,7,2,9,22.2,1,4,25.0,2,4,50.0,2,3,5,7,1,0,1,1,-4, LAL @ IND,200765
2019-12-15,"Dec 15, 2019 - LAL @ ATL",W,26,11,4,10,40.0,1,4,25.0,2,2,100.0,1,6,7,5,2,0,2,1,0, LAL @ ATL,200765
2019-12-13,"Dec 13, 2019 - LAL @ MIA",W,25,0,0,5,0.0,0,4,0.0,0,0,0.0,0,2,2,4,1,0,2,3,-10, LAL @ MIA,200765
2019-12-06,"Dec 06, 2019 - LAL @ POR",W,15,6,2,2,100.0,2,2,100.0,0,0,0.0,0,3,3,4,2,1,2,0,13, LAL @ POR,200765
2019-12-04,"Dec 04, 2019 - LAL @ UTA",W,32,14,5,12,41.7,2,3,66.7,2,2,100.0,0,9,9,12,2,0,2,2,25, LAL @ UTA,200765
2019-12-03,"Dec 03, 2019 - LAL @ DEN",W,25,11,4,6,66.7,2,2,100.0,1,2,50.0,0,6,6,6,1,0,2,1,8, LAL @ DEN,200765
2019-12-01,"Dec 01, 2019 - LAL vs. DAL",L,18,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,7,0,0,3,0,-18, LAL vs. DAL,200765
2019-11-29,"Nov 29, 2019 - LAL vs. WAS",W,11,13,5,7,71.4,3,4,75.0,0,0,0.0,0,1,1,4,0,0,0,0,15, LAL vs. WAS,200765
2019-11-27,"Nov 27, 2019 - LAL @ NOP",W,19,0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,7,1,0,2,1,0, LAL @ NOP,200765
2019-11-25,"Nov 25, 2019 - LAL @ SAS",W,25,13,5,9,55.6,3,3,100.0,0,0,0.0,1,4,5,3,2,0,3,2,13, LAL @ SAS,200765
2019-11-23,"Nov 23, 2019 - LAL @ MEM",W,26,14,6,15,40.0,1,5,20.0,1,2,50.0,2,3,5,6,2,0,1,0,4, LAL @ MEM,200765
2019-11-22,"Nov 22, 2019 - LAL @ OKC",W,18,8,3,6,50.0,2,3,66.7,0,0,0.0,0,1,1,4,2,0,2,2,-3, LAL @ OKC,200765
2019-11-19,"Nov 19, 2019 - LAL vs. OKC",W,27,8,3,10,30.0,1,4,25.0,1,2,50.0,0,2,2,10,0,0,3,0,6, LAL vs. OKC,200765
2019-11-17,"Nov 17, 2019 - LAL vs. ATL",W,24,15,5,9,55.6,2,3,66.7,3,3,100.0,1,1,2,3,1,0,2,2,12, LAL vs. ATL,200765
2019-11-15,"Nov 15, 2019 - LAL vs. SAC",W,18,0,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,4,1,0,2,2,-12, LAL vs. SAC,200765
2019-11-12,"Nov 12, 2019 - LAL @ PHX",W,14,5,2,6,33.3,1,3,33.3,0,0,0.0,0,6,6,7,0,0,0,1,4, LAL @ PHX,200765
2019-04-05,"Apr 05, 2019 - LAL @ LAC",W,37,15,6,16,37.5,3,5,60.0,0,1,0.0,1,5,6,12,0,0,6,2,-7, LAL @ LAC,200765
2019-04-04,"Apr 04, 2019 - LAL vs. GSW",L,29,12,5,15,33.3,2,8,25.0,0,2,0.0,0,4,4,2,2,0,2,0,-32, LAL vs. GSW,200765
2019-04-02,"Apr 02, 2019 - LAL @ OKC",L,36,7,3,11,27.3,0,4,0.0,1,1,100.0,1,9,10,9,1,1,4,2,-25, LAL @ OKC,200765
