date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-22,"Dec 22, 2019 - LAC @ OKC",L,16,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,0,1,0,0,2,10, LAC @ OKC,203585
2019-12-21,"Dec 21, 2019 - LAC @ SAS",W,21,5,2,5,40.0,1,4,25.0,0,0,0.0,0,0,0,0,0,0,1,2,10, LAC @ SAS,203585
2019-12-19,"Dec 19, 2019 - LAC vs. HOU",L,10,1,0,2,0.0,0,1,0.0,1,2,50.0,1,4,5,0,0,0,0,2,-10, LAC vs. HOU,203585
2019-12-17,"Dec 17, 2019 - LAC vs. PHX",W,21,7,3,5,60.0,1,2,50.0,0,0,0.0,0,11,11,0,3,0,1,2,8, LAC vs. PHX,203585
2019-12-14,"Dec 14, 2019 - LAC @ CHI",L,24,4,1,4,25.0,0,2,0.0,2,2,100.0,0,4,4,2,2,1,0,1,16, LAC @ CHI,203585
2019-12-13,"Dec 13, 2019 - LAC @ MIN",W,15,0,0,3,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,4,-15, LAC @ MIN,203585
2019-11-27,"Nov 27, 2019 - LAC @ MEM",W,23,7,3,7,42.9,1,3,33.3,0,0,0.0,2,3,5,1,2,0,0,1,-3, LAC @ MEM,203585
2019-11-26,"Nov 26, 2019 - LAC @ DAL",W,22,4,2,4,50.0,0,2,0.0,0,0,0.0,1,4,5,1,1,0,1,1,-5, LAC @ DAL,203585
2019-11-24,"Nov 24, 2019 - LAC vs. NOP",W,17,9,4,6,66.7,1,3,33.3,0,0,0.0,1,4,5,4,0,0,0,0,28, LAC vs. NOP,203585
2019-11-22,"Nov 22, 2019 - LAC vs. HOU",W,18,7,3,6,50.0,1,4,25.0,0,0,0.0,1,0,1,0,0,0,0,2,11, LAC vs. HOU,203585
2019-11-20,"Nov 20, 2019 - LAC vs. BOS",W,15,0,0,4,0.0,0,4,0.0,0,0,0.0,1,1,2,1,0,0,0,3,-10, LAC vs. BOS,203585
2019-11-18,"Nov 18, 2019 - LAC vs. OKC",W,20,0,0,7,0.0,0,4,0.0,0,0,0.0,1,1,2,1,0,0,0,2,1, LAC vs. OKC,203585
2019-11-16,"Nov 16, 2019 - LAC vs. ATL",W,19,6,2,3,66.7,2,2,100.0,0,0,0.0,2,0,2,0,0,2,2,5,31, LAC vs. ATL,203585
2019-11-14,"Nov 14, 2019 - LAC @ NOP",L,36,20,6,10,60.0,5,7,71.4,3,6,50.0,0,3,3,2,0,0,0,1,-2, LAC @ NOP,203585
2019-11-13,"Nov 13, 2019 - LAC @ HOU",L,20,5,2,4,50.0,1,2,50.0,0,2,0.0,0,1,1,0,0,0,2,2,-6, LAC @ HOU,203585
2019-11-11,"Nov 11, 2019 - LAC vs. TOR",W,7,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-1, LAC vs. TOR,203585
2019-11-07,"Nov 07, 2019 - LAC vs. POR",W,14,0,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,1,1,5, LAC vs. POR,203585
2019-11-06,"Nov 06, 2019 - LAC vs. MIL",L,12,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,2,-17, LAC vs. MIL,203585
2019-11-03,"Nov 03, 2019 - LAC vs. UTA",W,12,0,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,1,0,3,3, LAC vs. UTA,203585
2019-10-31,"Oct 31, 2019 - LAC vs. SAS",W,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1, LAC vs. SAS,203585
2019-10-30,"Oct 30, 2019 - LAC @ UTA",L,18,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,3,-19, LAC @ UTA,203585
2019-04-07,"Apr 07, 2019 - MIA @ TOR",L,23,2,1,6,16.7,0,0,0.0,0,2,0.0,2,4,6,0,0,0,0,0,8, MIA @ TOR,203585
2019-04-05,"Apr 05, 2019 - MIA @ MIN",L,10,4,2,4,50.0,0,2,0.0,0,0,0.0,2,2,4,2,0,1,0,1,10, MIA @ MIN,203585
2019-04-03,"Apr 03, 2019 - MIA vs. BOS",L,10,0,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,0,1,0,-7, MIA vs. BOS,203585
