date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAL vs. LAC",L,39,24,8,17,47.1,1,6,16.7,7,8,87.5,1,5,6,3,2,2,3,4,-10, LAL vs. LAC,203076
2019-12-22,"Dec 22, 2019 - LAL vs. DEN",L,34,32,13,23,56.5,1,4,25.0,5,6,83.3,5,6,11,1,0,4,5,4,-13, LAL vs. DEN,203076
2019-12-19,"Dec 19, 2019 - LAL @ MIL",L,43,36,11,25,44.0,0,6,0.0,14,17,82.4,3,7,10,5,1,3,1,4,6, LAL @ MIL,203076
2019-12-15,"Dec 15, 2019 - LAL @ ATL",W,35,27,11,23,47.8,0,6,0.0,5,7,71.4,2,11,13,3,1,2,5,5,-3, LAL @ ATL,203076
2019-12-13,"Dec 13, 2019 - LAL @ MIA",W,38,33,11,20,55.0,4,9,44.4,7,9,77.8,1,9,10,1,0,3,1,3,11, LAL @ MIA,203076
2019-12-11,"Dec 11, 2019 - LAL @ ORL",W,37,16,6,20,30.0,1,4,25.0,3,4,75.0,4,8,12,6,2,2,2,2,4, LAL @ ORL,203076
2019-12-08,"Dec 08, 2019 - LAL vs. MIN",W,39,50,20,29,69.0,0,2,0.0,10,10,100.0,3,4,7,6,4,1,1,1,19, LAL vs. MIN,203076
2019-12-06,"Dec 06, 2019 - LAL @ POR",W,32,39,12,21,57.1,2,6,33.3,13,15,86.7,0,9,9,2,2,3,3,2,6, LAL @ POR,203076
2019-12-04,"Dec 04, 2019 - LAL @ UTA",W,26,26,9,11,81.8,0,0,0.0,8,9,88.9,1,5,6,1,1,3,0,2,3, LAL @ UTA,203076
2019-12-03,"Dec 03, 2019 - LAL @ DEN",W,37,25,9,18,50.0,1,3,33.3,6,9,66.7,3,7,10,1,0,1,1,3,11, LAL @ DEN,203076
2019-12-01,"Dec 01, 2019 - LAL vs. DAL",L,36,27,10,21,47.6,1,2,50.0,6,6,100.0,2,8,10,2,1,2,2,2,-7, LAL vs. DAL,203076
2019-11-29,"Nov 29, 2019 - LAL vs. WAS",W,27,26,8,15,53.3,1,2,50.0,9,12,75.0,4,9,13,2,0,3,0,1,28, LAL vs. WAS,203076
2019-11-27,"Nov 27, 2019 - LAL @ NOP",W,37,41,15,30,50.0,1,4,25.0,10,12,83.3,3,6,9,1,3,1,2,3,-6, LAL @ NOP,203076
2019-11-25,"Nov 25, 2019 - LAL @ SAS",W,33,19,7,19,36.8,1,6,16.7,4,4,100.0,6,6,12,6,2,2,0,3,10, LAL @ SAS,203076
