date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAC @ LAL",W,31,18,8,12,66.7,0,0,0.0,2,2,100.0,4,2,6,0,0,1,4,3,1, LAC @ LAL,1626149
2019-12-22,"Dec 22, 2019 - LAC @ OKC",L,31,18,8,17,47.1,0,1,0.0,2,3,66.7,1,7,8,1,0,0,1,2,-1, LAC @ OKC,1626149
2019-12-21,"Dec 21, 2019 - LAC @ SAS",W,20,21,8,16,50.0,0,0,0.0,5,6,83.3,5,3,8,2,1,0,2,1,16, LAC @ SAS,1626149
2019-12-19,"Dec 19, 2019 - LAC vs. HOU",L,33,19,9,12,75.0,0,0,0.0,1,2,50.0,4,2,6,1,1,1,5,2,2, LAC vs. HOU,1626149
2019-12-17,"Dec 17, 2019 - LAC vs. PHX",W,23,15,7,13,53.8,0,0,0.0,1,1,100.0,2,3,5,3,1,1,2,1,7, LAC vs. PHX,1626149
2019-12-14,"Dec 14, 2019 - LAC @ CHI",L,33,30,9,24,37.5,0,1,0.0,12,14,85.7,4,3,7,0,2,3,2,2,15, LAC @ CHI,1626149
2019-12-13,"Dec 13, 2019 - LAC @ MIN",W,32,18,7,13,53.8,0,0,0.0,4,5,80.0,3,1,4,0,0,0,3,5,-16, LAC @ MIN,1626149
2019-12-11,"Dec 11, 2019 - LAC @ TOR",W,29,10,3,9,33.3,0,1,0.0,4,4,100.0,1,5,6,4,0,1,3,3,25, LAC @ TOR,1626149
2019-12-09,"Dec 09, 2019 - LAC @ IND",W,30,26,12,21,57.1,0,0,0.0,2,5,40.0,3,5,8,1,0,3,1,3,8, LAC @ IND,1626149
2019-12-08,"Dec 08, 2019 - LAC @ WAS",W,25,20,8,12,66.7,0,1,0.0,4,7,57.1,2,3,5,0,0,1,1,3,2, LAC @ WAS,1626149
2019-12-06,"Dec 06, 2019 - LAC @ MIL",L,24,11,3,7,42.9,0,0,0.0,5,7,71.4,2,5,7,2,0,1,0,3,-26, LAC @ MIL,1626149
2019-12-03,"Dec 03, 2019 - LAC vs. POR",W,30,26,11,13,84.6,0,0,0.0,4,12,33.3,4,5,9,1,1,0,0,3,16, LAC vs. POR,1626149
2019-12-01,"Dec 01, 2019 - LAC vs. WAS",W,27,23,9,15,60.0,0,2,0.0,5,9,55.6,3,12,15,1,1,1,2,0,30, LAC vs. WAS,1626149
2019-11-29,"Nov 29, 2019 - LAC @ SAS",L,25,12,6,12,50.0,0,1,0.0,0,0,0.0,2,5,7,0,0,1,0,0,-11, LAC @ SAS,1626149
2019-11-27,"Nov 27, 2019 - LAC @ MEM",W,30,24,10,17,58.8,0,0,0.0,4,6,66.7,5,5,10,1,0,1,1,4,8, LAC @ MEM,1626149
2019-11-26,"Nov 26, 2019 - LAC @ DAL",W,28,12,5,12,41.7,0,0,0.0,2,2,100.0,4,3,7,1,1,0,1,1,19, LAC @ DAL,1626149
2019-11-24,"Nov 24, 2019 - LAC vs. NOP",W,28,34,13,18,72.2,0,0,0.0,8,10,80.0,4,8,12,2,1,2,0,3,30, LAC vs. NOP,1626149
2019-11-22,"Nov 22, 2019 - LAC vs. HOU",W,35,18,8,13,61.5,0,0,0.0,2,2,100.0,3,4,7,2,1,2,5,2,-1, LAC vs. HOU,1626149
2019-11-20,"Nov 20, 2019 - LAC vs. BOS",W,31,6,3,8,37.5,0,0,0.0,0,0,0.0,2,4,6,3,2,2,2,2,-5, LAC vs. BOS,1626149
2019-11-18,"Nov 18, 2019 - LAC vs. OKC",W,28,28,13,20,65.0,0,2,0.0,2,4,50.0,8,4,12,5,1,1,2,1,4, LAC vs. OKC,1626149
2019-11-16,"Nov 16, 2019 - LAC vs. ATL",W,23,17,7,16,43.8,0,0,0.0,3,5,60.0,3,1,4,2,0,1,2,1,21, LAC vs. ATL,1626149
2019-11-14,"Nov 14, 2019 - LAC @ NOP",L,36,18,8,12,66.7,0,0,0.0,2,3,66.7,0,7,7,6,2,2,2,3,-5, LAC @ NOP,1626149
2019-11-13,"Nov 13, 2019 - LAC @ HOU",L,38,4,2,12,16.7,0,1,0.0,0,0,0.0,1,8,9,2,0,1,1,4,-2, LAC @ HOU,1626149
2019-11-11,"Nov 11, 2019 - LAC vs. TOR",W,31,14,7,15,46.7,0,1,0.0,0,2,0.0,3,8,11,2,2,3,2,3,9, LAC vs. TOR,1626149
2019-11-07,"Nov 07, 2019 - LAC vs. POR",W,28,15,7,11,63.6,0,1,0.0,1,2,50.0,2,4,6,1,2,3,1,1,9, LAC vs. POR,1626149
2019-11-06,"Nov 06, 2019 - LAC vs. MIL",L,39,34,13,25,52.0,0,0,0.0,8,12,66.7,6,7,13,5,1,1,1,1,5, LAC vs. MIL,1626149
2019-11-03,"Nov 03, 2019 - LAC vs. UTA",W,30,19,7,10,70.0,0,0,0.0,5,8,62.5,6,2,8,2,0,1,1,3,24, LAC vs. UTA,1626149
2019-10-31,"Oct 31, 2019 - LAC vs. SAS",W,31,24,9,11,81.8,0,0,0.0,6,9,66.7,1,3,4,1,0,1,3,4,3, LAC vs. SAS,1626149
2019-10-30,"Oct 30, 2019 - LAC @ UTA",L,14,10,5,9,55.6,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,4,-14, LAC @ UTA,1626149
2019-10-28,"Oct 28, 2019 - LAC vs. CHA",W,26,19,8,12,66.7,0,0,0.0,3,3,100.0,4,3,7,2,2,0,2,3,-4, LAC vs. CHA,1626149
2019-10-26,"Oct 26, 2019 - LAC @ PHX",L,32,28,9,10,90.0,0,0,0.0,10,11,90.9,2,5,7,2,1,1,1,0,4, LAC @ PHX,1626149
2019-10-24,"Oct 24, 2019 - LAC @ GSW",W,25,18,8,9,88.9,0,0,0.0,2,5,40.0,1,5,6,3,0,0,6,3,1, LAC @ GSW,1626149
2019-10-22,"Oct 22, 2019 - LAC vs. LAL",W,38,17,7,11,63.6,0,0,0.0,3,8,37.5,2,5,7,4,1,1,3,3,15, LAC vs. LAL,1626149
2019-04-10,"Apr 10, 2019 - LAC vs. UTA",W,21,24,10,13,76.9,0,0,0.0,4,6,66.7,3,4,7,5,0,1,2,1,11, LAC vs. UTA,1626149
2019-04-07,"Apr 07, 2019 - LAC @ GSW",L,31,11,5,11,45.5,0,0,0.0,1,4,25.0,0,3,3,3,1,1,2,4,-15, LAC @ GSW,1626149
2019-04-05,"Apr 05, 2019 - LAC vs. LAL",L,29,14,4,9,44.4,0,0,0.0,6,8,75.0,2,6,8,4,0,1,1,3,-9, LAC vs. LAL,1626149
2019-04-03,"Apr 03, 2019 - LAC vs. HOU",L,23,13,6,10,60.0,0,0,0.0,1,2,50.0,3,2,5,4,3,1,2,2,-20, LAC vs. HOU,1626149
2019-03-31,"Mar 31, 2019 - LAC vs. MEM",W,21,20,5,9,55.6,0,1,0.0,10,11,90.9,0,1,1,1,0,1,1,2,4, LAC vs. MEM,1626149
2019-03-30,"Mar 30, 2019 - LAC vs. CLE",W,28,23,10,13,76.9,1,1,100.0,2,3,66.7,1,5,6,2,1,0,3,5,7, LAC vs. CLE,1626149
2019-03-28,"Mar 28, 2019 - LAC @ MIL",L,20,13,6,12,50.0,0,0,0.0,1,4,25.0,2,3,5,3,0,0,3,1,-20, LAC @ MIL,1626149
2019-03-26,"Mar 26, 2019 - LAC @ MIN",W,27,18,9,11,81.8,0,0,0.0,0,0,0.0,0,5,5,4,0,2,3,4,8, LAC @ MIN,1626149
2019-03-24,"Mar 24, 2019 - LAC @ NYK",W,28,24,8,12,66.7,0,1,0.0,8,9,88.9,2,2,4,1,0,1,2,1,21, LAC @ NYK,1626149
2019-03-22,"Mar 22, 2019 - LAC @ CLE",W,29,14,5,8,62.5,0,0,0.0,4,5,80.0,1,4,5,1,2,3,2,3,-5, LAC @ CLE,1626149
2019-03-19,"Mar 19, 2019 - LAC vs. IND",W,29,20,8,12,66.7,0,0,0.0,4,8,50.0,4,8,12,2,2,0,2,3,3, LAC vs. IND,1626149
2019-03-17,"Mar 17, 2019 - LAC vs. BKN",W,34,20,8,17,47.1,0,0,0.0,4,6,66.7,0,10,10,1,1,3,1,3,6, LAC vs. BKN,1626149
2019-03-15,"Mar 15, 2019 - LAC vs. CHI",W,24,26,9,18,50.0,0,0,0.0,8,8,100.0,3,2,5,2,1,3,2,4,4, LAC vs. CHI,1626149
2019-03-12,"Mar 12, 2019 - LAC vs. POR",L,26,22,8,15,53.3,1,1,100.0,5,8,62.5,8,3,11,3,0,3,2,3,-12, LAC vs. POR,1626149
2019-03-11,"Mar 11, 2019 - LAC vs. BOS",W,21,20,8,12,66.7,0,0,0.0,4,5,80.0,4,2,6,2,1,0,2,3,15, LAC vs. BOS,1626149
2019-03-08,"Mar 08, 2019 - LAC vs. OKC",W,25,8,3,7,42.9,0,0,0.0,2,4,50.0,2,4,6,2,0,1,2,5,-6, LAC vs. OKC,1626149
2019-03-04,"Mar 04, 2019 - LAC @ LAL",W,34,14,7,15,46.7,0,0,0.0,0,2,0.0,1,10,11,5,0,0,4,5,11, LAC @ LAL,1626149
2019-03-03,"Mar 03, 2019 - LAC vs. NYK",W,25,18,9,15,60.0,0,1,0.0,0,2,0.0,2,3,5,1,2,0,3,2,5, LAC vs. NYK,1626149
2019-03-01,"Mar 01, 2019 - LAC @ SAC",W,30,15,5,13,38.5,0,1,0.0,5,6,83.3,4,4,8,1,1,1,3,3,-10, LAC @ SAC,1626149
2019-02-27,"Feb 27, 2019 - LAC @ UTA",L,27,16,7,10,70.0,0,0,0.0,2,2,100.0,0,8,8,0,0,1,0,6,-14, LAC @ UTA,1626149
2019-02-25,"Feb 25, 2019 - LAC vs. DAL",W,29,32,14,17,82.4,0,0,0.0,4,5,80.0,2,3,5,5,0,2,1,2,14, LAC vs. DAL,1626149
2019-02-24,"Feb 24, 2019 - LAC @ DEN",L,16,8,3,7,42.9,0,0,0.0,2,2,100.0,1,1,2,3,1,2,2,5,-6, LAC @ DEN,1626149
2019-02-22,"Feb 22, 2019 - LAC @ MEM",W,26,30,11,14,78.6,0,2,0.0,8,10,80.0,0,3,3,1,0,0,3,4,11, LAC @ MEM,1626149
2019-02-13,"Feb 13, 2019 - LAC vs. PHX",W,22,19,8,15,53.3,0,1,0.0,3,5,60.0,2,3,5,4,1,1,0,0,3, LAC vs. PHX,1626149
2019-02-11,"Feb 11, 2019 - LAC @ MIN",L,35,18,7,10,70.0,0,0,0.0,4,7,57.1,2,10,12,6,1,1,1,5,19, LAC @ MIN,1626149
2019-02-09,"Feb 09, 2019 - LAC @ BOS",W,29,21,8,13,61.5,0,0,0.0,5,6,83.3,1,5,6,2,1,1,1,3,4, LAC @ BOS,1626149
2019-02-07,"Feb 07, 2019 - LAC @ IND",L,29,19,9,13,69.2,0,0,0.0,1,2,50.0,1,0,1,4,2,2,6,3,-20, LAC @ IND,1626149
2019-02-05,"Feb 05, 2019 - LAC @ CHA",W,28,16,7,13,53.8,0,0,0.0,2,2,100.0,3,7,10,2,0,3,1,4,4, LAC @ CHA,1626149
2019-02-03,"Feb 03, 2019 - LAC @ TOR",L,30,10,5,8,62.5,0,0,0.0,0,0,0.0,1,2,3,1,1,4,0,6,-22, LAC @ TOR,1626149
2019-02-02,"Feb 02, 2019 - LAC @ DET",W,36,16,8,13,61.5,0,0,0.0,0,5,0.0,2,5,7,1,1,1,1,4,22, LAC @ DET,1626149
2019-01-31,"Jan 31, 2019 - LAC vs. LAL",L,23,15,7,11,63.6,0,0,0.0,1,5,20.0,3,5,8,0,1,2,1,5,-7, LAC vs. LAL,1626149
2019-01-28,"Jan 28, 2019 - LAC vs. ATL",L,32,18,9,15,60.0,0,1,0.0,0,0,0.0,2,2,4,0,3,1,3,4,-6, LAC vs. ATL,1626149
2019-01-27,"Jan 27, 2019 - LAC vs. SAC",W,29,25,11,13,84.6,0,0,0.0,3,4,75.0,5,2,7,2,0,0,2,3,18, LAC vs. SAC,1626149
2019-01-25,"Jan 25, 2019 - LAC @ CHI",W,30,11,5,11,45.5,0,1,0.0,1,2,50.0,1,3,4,1,0,0,3,5,3, LAC @ CHI,1626149
2019-01-23,"Jan 23, 2019 - LAC @ MIA",W,26,16,6,7,85.7,0,0,0.0,4,8,50.0,1,4,5,1,0,1,0,2,6, LAC @ MIA,1626149
