date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-28,"Dec 28, 2019 - LAC vs. UTA",L,23,12,5,9,55.6,1,2,50.0,1,1,100.0,4,1,5,0,0,1,1,1,-4, LAC vs. UTA,201976
2019-12-25,"Dec 25, 2019 - LAC @ LAL",W,32,8,3,7,42.9,1,3,33.3,1,3,33.3,1,8,9,4,1,1,1,0,26, LAC @ LAL,201976
2019-12-21,"Dec 21, 2019 - LAC @ SAS",W,22,8,3,9,33.3,2,7,28.6,0,0,0.0,0,5,5,6,0,1,0,2,18, LAC @ SAS,201976
2019-12-19,"Dec 19, 2019 - LAC vs. HOU",L,29,10,4,9,44.4,2,7,28.6,0,0,0.0,0,2,2,7,4,1,0,6,1, LAC vs. HOU,201976
2019-12-17,"Dec 17, 2019 - LAC vs. PHX",W,26,9,4,7,57.1,1,3,33.3,0,0,0.0,1,2,3,1,0,2,0,1,13, LAC vs. PHX,201976
2019-12-11,"Dec 11, 2019 - LAC @ TOR",W,19,11,4,8,50.0,3,5,60.0,0,0,0.0,1,3,4,2,1,1,0,0,9, LAC @ TOR,201976
2019-12-09,"Dec 09, 2019 - LAC @ IND",W,39,11,5,7,71.4,1,2,50.0,0,0,0.0,1,11,12,5,3,0,4,3,9, LAC @ IND,201976
2019-12-08,"Dec 08, 2019 - LAC @ WAS",W,24,9,3,5,60.0,3,5,60.0,0,0,0.0,1,6,7,4,0,0,0,4,14, LAC @ WAS,201976
2019-12-06,"Dec 06, 2019 - LAC @ MIL",L,30,6,2,7,28.6,2,5,40.0,0,0,0.0,2,2,4,1,1,0,2,4,-32, LAC @ MIL,201976
2019-12-03,"Dec 03, 2019 - LAC vs. POR",W,28,11,4,5,80.0,2,3,66.7,1,2,50.0,1,3,4,3,2,0,1,3,7, LAC vs. POR,201976
2019-12-01,"Dec 01, 2019 - LAC vs. WAS",W,24,3,1,3,33.3,1,2,50.0,0,0,0.0,3,3,6,2,3,0,0,4,5, LAC vs. WAS,201976
2019-11-29,"Nov 29, 2019 - LAC @ SAS",L,36,10,3,9,33.3,2,7,28.6,2,2,100.0,2,3,5,2,0,0,1,2,-7, LAC @ SAS,201976
