date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAL vs. LAC",L,12,2,1,1,100.0,0,0,0.0,0,1,0.0,3,6,9,2,0,1,2,5,-1, LAL vs. LAC,2730
2019-12-22,"Dec 22, 2019 - LAL vs. DEN",L,17,8,4,4,100.0,0,0,0.0,0,2,0.0,5,2,7,1,0,0,2,2,-19, LAL vs. DEN,2730
2019-12-19,"Dec 19, 2019 - LAL @ MIL",L,15,2,1,2,50.0,0,0,0.0,0,1,0.0,2,2,4,0,1,0,2,2,-15, LAL @ MIL,2730
2019-12-17,"Dec 17, 2019 - LAL @ IND",L,26,20,10,10,100.0,0,0,0.0,0,3,0.0,2,4,6,0,0,2,3,4,-2, LAL @ IND,2730
2019-12-15,"Dec 15, 2019 - LAL @ ATL",W,23,2,1,1,100.0,0,0,0.0,0,0,0.0,2,5,7,1,1,3,2,4,8, LAL @ ATL,2730
2019-12-13,"Dec 13, 2019 - LAL @ MIA",W,19,4,2,3,66.7,0,0,0.0,0,0,0.0,4,4,8,0,0,0,2,3,-9, LAL @ MIA,2730
2019-12-11,"Dec 11, 2019 - LAL @ ORL",W,18,2,1,4,25.0,0,0,0.0,0,2,0.0,2,4,6,1,1,1,1,1,-2, LAL @ ORL,2730
2019-12-08,"Dec 08, 2019 - LAL vs. MIN",W,22,8,3,5,60.0,0,1,0.0,2,2,100.0,3,3,6,0,0,0,1,2,8, LAL vs. MIN,2730
2019-12-06,"Dec 06, 2019 - LAL @ POR",W,21,5,1,1,100.0,0,0,0.0,3,4,75.0,1,9,10,0,2,0,2,5,14, LAL @ POR,2730
2019-12-04,"Dec 04, 2019 - LAL @ UTA",W,19,7,3,3,100.0,1,1,100.0,0,4,0.0,2,7,9,1,0,3,0,0,19, LAL @ UTA,2730
2019-12-03,"Dec 03, 2019 - LAL @ DEN",W,19,13,5,8,62.5,0,1,0.0,3,8,37.5,2,4,6,0,0,2,1,4,-2, LAL @ DEN,2730
2019-12-01,"Dec 01, 2019 - LAL vs. DAL",L,12,4,2,3,66.7,0,0,0.0,0,2,0.0,1,2,3,2,0,0,0,1,-8, LAL vs. DAL,2730
2019-11-29,"Nov 29, 2019 - LAL vs. WAS",W,19,8,3,4,75.0,0,0,0.0,2,2,100.0,2,3,5,0,1,2,3,4,5, LAL vs. WAS,2730
2019-11-27,"Nov 27, 2019 - LAL @ NOP",W,23,9,4,5,80.0,0,0,0.0,1,2,50.0,1,6,7,0,0,1,0,4,9, LAL @ NOP,2730
2019-11-25,"Nov 25, 2019 - LAL @ SAS",W,18,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,5,0, LAL @ SAS,2730
2019-11-23,"Nov 23, 2019 - LAL @ MEM",W,20,10,3,4,75.0,0,0,0.0,4,8,50.0,4,5,9,1,0,1,0,4,-2, LAL @ MEM,2730
2019-11-22,"Nov 22, 2019 - LAL @ OKC",W,17,10,3,4,75.0,0,0,0.0,4,6,66.7,3,4,7,0,0,1,2,3,-7, LAL @ OKC,2730
2019-11-19,"Nov 19, 2019 - LAL vs. OKC",W,17,3,1,2,50.0,0,0,0.0,1,2,50.0,4,2,6,0,1,2,1,3,4, LAL vs. OKC,2730
2019-11-17,"Nov 17, 2019 - LAL vs. ATL",W,24,2,0,0,0.0,0,0,0.0,2,4,50.0,2,7,9,1,0,3,2,5,18, LAL vs. ATL,2730
2019-11-15,"Nov 15, 2019 - LAL vs. SAC",W,22,4,1,1,100.0,0,0,0.0,2,2,100.0,1,6,7,0,0,1,1,3,6, LAL vs. SAC,2730
2019-11-13,"Nov 13, 2019 - LAL vs. GSW",W,20,15,5,7,71.4,0,0,0.0,5,6,83.3,3,5,8,3,0,1,3,5,-4, LAL vs. GSW,2730
2019-11-12,"Nov 12, 2019 - LAL @ PHX",W,20,12,6,9,66.7,0,0,0.0,0,1,0.0,2,7,9,1,0,1,3,5,3, LAL @ PHX,2730
2019-11-10,"Nov 10, 2019 - LAL vs. TOR",L,17,9,3,3,100.0,0,0,0.0,3,5,60.0,2,4,6,0,0,0,0,3,-4, LAL vs. TOR,2730
2019-11-08,"Nov 08, 2019 - LAL vs. MIA",W,15,2,1,2,50.0,0,0,0.0,0,0,0.0,0,6,6,1,0,0,1,4,-10, LAL vs. MIA,2730
2019-11-05,"Nov 05, 2019 - LAL @ CHI",W,24,6,3,4,75.0,0,0,0.0,0,1,0.0,2,4,6,0,0,1,0,5,4, LAL @ CHI,2730
2019-11-03,"Nov 03, 2019 - LAL @ SAS",W,21,14,7,7,100.0,0,0,0.0,0,1,0.0,4,9,13,2,0,2,1,3,2, LAL @ SAS,2730
2019-11-01,"Nov 01, 2019 - LAL @ DAL",W,27,4,1,1,100.0,0,0,0.0,2,2,100.0,1,7,8,0,2,3,1,4,8, LAL @ DAL,2730
2019-10-29,"Oct 29, 2019 - LAL vs. MEM",W,19,2,1,2,50.0,0,0,0.0,0,0,0.0,1,4,5,2,1,2,1,5,22, LAL vs. MEM,2730
2019-10-27,"Oct 27, 2019 - LAL vs. CHA",W,23,16,8,8,100.0,0,0,0.0,0,2,0.0,3,7,10,1,0,4,1,3,23, LAL vs. CHA,2730
2019-10-25,"Oct 25, 2019 - LAL vs. UTA",W,19,2,1,3,33.3,0,0,0.0,0,2,0.0,3,4,7,2,2,2,2,5,13, LAL vs. UTA,2730
2019-10-22,"Oct 22, 2019 - LAL @ LAC",L,19,3,1,3,33.3,0,0,0.0,1,1,100.0,3,3,6,1,0,1,0,4,-1, LAL @ LAC,2730
2018-11-18,"Nov 18, 2018 - WAS vs. POR",L,7,2,1,2,50.0,0,0,0.0,0,2,0.0,0,3,3,0,0,0,3,3,-15, WAS vs. POR,2730
2018-11-16,"Nov 16, 2018 - WAS vs. BKN",L,27,25,9,13,69.2,0,0,0.0,7,10,70.0,6,11,17,1,1,1,2,6,-11, WAS vs. BKN,2730
2018-11-14,"Nov 14, 2018 - WAS vs. CLE",W,20,10,5,8,62.5,0,0,0.0,0,1,0.0,0,7,7,0,0,0,2,4,-2, WAS vs. CLE,2730
2018-11-12,"Nov 12, 2018 - WAS vs. ORL",W,29,17,6,9,66.7,0,0,0.0,5,7,71.4,2,6,8,0,2,1,1,3,-8, WAS vs. ORL,2730
2018-11-10,"Nov 10, 2018 - WAS @ MIA",W,33,11,2,7,28.6,0,0,0.0,7,10,70.0,7,9,16,0,1,0,2,5,-2, WAS @ MIA,2730
2018-11-09,"Nov 09, 2018 - WAS @ ORL",L,26,12,6,8,75.0,0,0,0.0,0,2,0.0,2,6,8,0,0,0,4,2,-14, WAS @ ORL,2730
2018-11-06,"Nov 06, 2018 - WAS @ DAL",L,33,8,3,5,60.0,0,0,0.0,2,4,50.0,2,9,11,2,0,1,1,3,-13, WAS @ DAL,2730
2018-11-04,"Nov 04, 2018 - WAS vs. NYK",W,31,10,4,9,44.4,0,0,0.0,2,4,50.0,3,7,10,0,1,1,0,4,27, WAS vs. NYK,2730
2018-11-02,"Nov 02, 2018 - WAS vs. OKC",L,23,20,7,8,87.5,0,0,0.0,6,8,75.0,2,1,3,1,2,0,1,4,-12, WAS vs. OKC,2730
2018-04-10,"Apr 10, 2018 - CHA @ IND",W,27,14,6,14,42.9,0,0,0.0,2,4,50.0,3,14,17,0,0,1,0,2,19, CHA @ IND,2730
2018-04-08,"Apr 08, 2018 - CHA vs. IND",L,23,10,4,5,80.0,0,0,0.0,2,4,50.0,3,9,12,2,1,0,3,4,-3, CHA vs. IND,2730
2018-04-06,"Apr 06, 2018 - CHA @ ORL",W,28,16,5,10,50.0,0,0,0.0,6,8,75.0,3,14,17,2,0,4,2,2,23, CHA @ ORL,2730
2018-04-03,"Apr 03, 2018 - CHA @ CHI",L,32,23,7,11,63.6,0,0,0.0,9,13,69.2,5,12,17,3,0,2,3,1,-8, CHA @ CHI,2730
2018-04-01,"Apr 01, 2018 - CHA vs. PHI",L,26,10,4,7,57.1,0,0,0.0,2,5,40.0,1,9,10,0,1,1,1,2,-13, CHA vs. PHI,2730
2018-03-31,"Mar 31, 2018 - CHA @ WAS",L,31,22,9,15,60.0,0,0,0.0,4,11,36.4,3,10,13,0,1,1,1,2,-17, CHA @ WAS,2730
2018-03-28,"Mar 28, 2018 - CHA vs. CLE",L,29,19,7,12,58.3,0,0,0.0,5,5,100.0,3,7,10,1,0,1,0,3,-6, CHA vs. CLE,2730
2018-03-26,"Mar 26, 2018 - CHA vs. NYK",W,36,23,9,15,60.0,0,1,0.0,5,5,100.0,4,9,13,1,0,0,6,4,15, CHA vs. NYK,2730
2018-03-24,"Mar 24, 2018 - CHA @ DAL",W,33,18,6,12,50.0,0,1,0.0,6,12,50.0,1,22,23,2,0,1,1,2,-6, CHA @ DAL,2730
2018-03-21,"Mar 21, 2018 - CHA @ BKN",W,34,32,10,17,58.8,0,0,0.0,12,21,57.1,11,19,30,1,0,0,6,3,16, CHA @ BKN,2730
2018-03-19,"Mar 19, 2018 - CHA @ PHI",L,28,10,3,9,33.3,0,0,0.0,4,6,66.7,0,4,4,1,1,0,3,5,-18, CHA @ PHI,2730
2018-03-17,"Mar 17, 2018 - CHA @ NYK",L,27,14,6,17,35.3,0,0,0.0,2,2,100.0,5,8,13,0,0,1,2,4,-16, CHA @ NYK,2730
2018-03-15,"Mar 15, 2018 - CHA @ ATL",W,32,33,13,20,65.0,0,0,0.0,7,8,87.5,2,10,12,1,2,2,0,3,21, CHA @ ATL,2730
2018-03-13,"Mar 13, 2018 - CHA @ NOP",L,34,22,9,12,75.0,0,0,0.0,4,7,57.1,2,9,11,2,0,3,3,2,1, CHA @ NOP,2730
2018-03-10,"Mar 10, 2018 - CHA vs. PHX",W,37,30,10,15,66.7,0,0,0.0,10,15,66.7,1,11,12,1,1,4,1,3,17, CHA vs. PHX,2730
2018-03-08,"Mar 08, 2018 - CHA vs. BKN",L,27,19,5,8,62.5,0,0,0.0,9,11,81.8,1,6,7,0,1,3,1,3,-14, CHA vs. BKN,2730
2018-03-06,"Mar 06, 2018 - CHA vs. PHI",L,30,30,12,17,70.6,1,1,100.0,5,7,71.4,1,5,6,0,1,3,3,2,-10, CHA vs. PHI,2730
