date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAC @ LAL",W,37,17,5,18,27.8,1,6,16.7,6,6,100.0,1,4,5,3,0,3,2,3,-8, LAC @ LAL,202331
2019-12-22,"Dec 22, 2019 - LAC @ OKC",L,34,18,6,17,35.3,2,5,40.0,4,6,66.7,1,1,2,3,2,0,5,3,-16, LAC @ OKC,202331
2019-12-21,"Dec 21, 2019 - LAC @ SAS",W,26,11,4,11,36.4,0,4,0.0,3,3,100.0,0,5,5,4,0,0,2,0,16, LAC @ SAS,202331
2019-12-19,"Dec 19, 2019 - LAC vs. HOU",L,39,34,12,23,52.2,6,12,50.0,4,4,100.0,0,9,9,3,2,2,3,4,6, LAC vs. HOU,202331
2019-12-17,"Dec 17, 2019 - LAC vs. PHX",W,25,24,8,17,47.1,3,7,42.9,5,5,100.0,0,3,3,1,3,0,3,2,6, LAC vs. PHX,202331
2019-12-14,"Dec 14, 2019 - LAC @ CHI",L,31,27,9,20,45.0,3,6,50.0,6,7,85.7,0,4,4,6,2,0,6,1,-21, LAC @ CHI,202331
2019-12-13,"Dec 13, 2019 - LAC @ MIN",W,39,46,17,31,54.8,6,15,40.0,6,7,85.7,0,5,5,7,2,0,6,5,1, LAC @ MIN,202331
2019-12-11,"Dec 11, 2019 - LAC @ TOR",W,33,13,3,14,21.4,2,12,16.7,5,5,100.0,1,4,5,3,1,1,2,2,15, LAC @ TOR,202331
2019-12-09,"Dec 09, 2019 - LAC @ IND",W,36,36,10,26,38.5,7,16,43.8,9,11,81.8,0,9,9,5,2,1,3,3,20, LAC @ IND,202331
2019-12-08,"Dec 08, 2019 - LAC @ WAS",W,26,27,11,21,52.4,3,10,30.0,2,2,100.0,1,5,6,6,4,0,1,5,35, LAC @ WAS,202331
2019-12-06,"Dec 06, 2019 - LAC @ MIL",L,31,13,5,12,41.7,3,6,50.0,0,0,0.0,0,7,7,0,0,1,5,4,-25, LAC @ MIL,202331
2019-12-03,"Dec 03, 2019 - LAC vs. POR",W,29,25,9,14,64.3,6,7,85.7,1,2,50.0,0,4,4,3,0,0,2,1,5, LAC vs. POR,202331
2019-12-01,"Dec 01, 2019 - LAC vs. WAS",W,30,31,10,21,47.6,4,10,40.0,7,7,100.0,0,8,8,1,0,1,2,1,15, LAC vs. WAS,202331
2019-11-29,"Nov 29, 2019 - LAC @ SAS",L,33,5,2,11,18.2,1,5,20.0,0,0,0.0,1,7,8,3,0,0,5,2,-4, LAC @ SAS,202331
2019-11-27,"Nov 27, 2019 - LAC @ MEM",W,29,22,8,15,53.3,4,11,36.4,2,2,100.0,1,4,5,2,1,0,4,2,2, LAC @ MEM,202331
2019-11-26,"Nov 26, 2019 - LAC @ DAL",W,29,26,8,21,38.1,4,11,36.4,6,6,100.0,2,2,4,2,6,0,2,3,21, LAC @ DAL,202331
2019-11-24,"Nov 24, 2019 - LAC vs. NOP",W,31,18,6,20,30.0,6,16,37.5,0,0,0.0,0,5,5,2,3,1,1,2,-9, LAC vs. NOP,202331
