date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-26,"Dec 26, 2019 - POR @ UTA",L,24,6,2,7,28.6,2,4,50.0,0,0,0.0,0,5,5,0,1,0,3,1,-23, POR @ UTA,203145
2019-12-23,"Dec 23, 2019 - POR vs. NOP",L,31,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,1,0,0,2,4,-16, POR vs. NOP,203145
2019-12-21,"Dec 21, 2019 - POR vs. MIN",W,33,19,7,12,58.3,2,4,50.0,3,3,100.0,0,2,2,2,3,2,2,1,13, POR vs. MIN,203145
2019-12-20,"Dec 20, 2019 - POR vs. ORL",W,32,11,4,8,50.0,2,4,50.0,1,1,100.0,0,4,4,0,1,1,3,1,18, POR vs. ORL,203145
2019-12-18,"Dec 18, 2019 - POR vs. GSW",W,29,5,2,6,33.3,1,3,33.3,0,0,0.0,0,1,1,0,1,1,1,4,10, POR vs. GSW,203145
2019-12-16,"Dec 16, 2019 - POR @ PHX",W,31,11,4,10,40.0,3,8,37.5,0,0,0.0,0,3,3,1,3,1,1,2,10, POR @ PHX,203145
2019-12-12,"Dec 12, 2019 - POR @ DEN",L,30,9,3,7,42.9,1,5,20.0,2,2,100.0,0,3,3,2,0,0,1,3,7, POR @ DEN,203145
2019-12-10,"Dec 10, 2019 - POR vs. NYK",W,22,4,1,5,20.0,0,3,0.0,2,2,100.0,0,3,3,0,1,0,1,1,18, POR vs. NYK,203145
2019-12-08,"Dec 08, 2019 - POR vs. OKC",L,36,9,3,11,27.3,3,6,50.0,0,0,0.0,1,4,5,2,0,1,1,5,-8, POR vs. OKC,203145
2019-12-06,"Dec 06, 2019 - POR vs. LAL",L,25,10,3,9,33.3,1,5,20.0,3,3,100.0,0,2,2,0,0,0,3,5,-10, POR vs. LAL,203145
2019-12-04,"Dec 04, 2019 - POR vs. SAC",W,23,15,5,9,55.6,3,5,60.0,2,2,100.0,1,5,6,1,1,0,0,0,9, POR vs. SAC,203145
2019-12-03,"Dec 03, 2019 - POR @ LAC",L,19,9,3,6,50.0,2,3,66.7,1,2,50.0,0,4,4,0,2,3,1,4,-4, POR @ LAC,203145
2019-11-29,"Nov 29, 2019 - POR vs. CHI",W,16,4,1,4,25.0,0,1,0.0,2,2,100.0,0,2,2,0,2,0,1,1,7, POR vs. CHI,203145
2019-11-27,"Nov 27, 2019 - POR vs. OKC",W,21,3,0,5,0.0,0,1,0.0,3,3,100.0,2,8,10,4,2,1,0,3,1, POR vs. OKC,203145
2019-11-25,"Nov 25, 2019 - POR @ CHI",W,23,4,1,2,50.0,0,1,0.0,2,2,100.0,1,2,3,0,0,0,1,1,8, POR @ CHI,203145
2019-11-23,"Nov 23, 2019 - POR @ CLE",L,12,5,1,4,25.0,0,2,0.0,3,3,100.0,0,0,0,0,0,0,3,2,-5, POR @ CLE,203145
2019-11-21,"Nov 21, 2019 - POR @ MIL",L,18,2,1,8,12.5,0,3,0.0,0,0,0.0,0,5,5,6,1,0,0,2,-8, POR @ MIL,203145
2019-11-19,"Nov 19, 2019 - POR @ NOP",L,28,11,3,8,37.5,3,5,60.0,2,2,100.0,0,3,3,4,0,0,3,2,-10, POR @ NOP,203145
2019-11-18,"Nov 18, 2019 - POR @ HOU",L,21,11,4,14,28.6,2,5,40.0,1,2,50.0,1,3,4,5,1,1,0,2,-7, POR @ HOU,203145
2019-11-16,"Nov 16, 2019 - POR @ SAS",W,17,8,3,5,60.0,1,3,33.3,1,1,100.0,0,2,2,0,0,0,1,1,-11, POR @ SAS,203145
2019-11-13,"Nov 13, 2019 - POR vs. TOR",L,22,7,2,10,20.0,2,8,25.0,1,2,50.0,1,3,4,1,0,2,1,2,-14, POR vs. TOR,203145
2019-11-12,"Nov 12, 2019 - POR @ SAC",L,33,12,3,8,37.5,1,4,25.0,5,6,83.3,0,5,5,3,1,1,3,3,3, POR @ SAC,203145
2019-11-10,"Nov 10, 2019 - POR vs. ATL",W,34,13,5,13,38.5,3,6,50.0,0,0,0.0,1,7,8,0,2,2,2,5,25, POR vs. ATL,203145
2019-11-08,"Nov 08, 2019 - POR vs. BKN",L,19,3,1,2,50.0,1,1,100.0,0,0,0.0,0,3,3,2,0,0,2,2,-5, POR vs. BKN,203145
2019-11-07,"Nov 07, 2019 - POR @ LAC",L,13,8,3,7,42.9,2,6,33.3,0,0,0.0,0,2,2,3,1,0,1,4,-1, POR @ LAC,203145
2019-11-04,"Nov 04, 2019 - POR @ GSW",L,22,7,3,10,30.0,1,6,16.7,0,0,0.0,0,6,6,1,1,0,2,3,-11, POR @ GSW,203145
2019-11-02,"Nov 02, 2019 - POR vs. PHI",L,26,7,2,5,40.0,1,1,100.0,2,4,50.0,0,6,6,1,2,2,2,4,-18, POR vs. PHI,203145
2019-10-30,"Oct 30, 2019 - POR @ OKC",W,21,14,5,9,55.6,3,4,75.0,1,2,50.0,0,5,5,0,0,0,1,5,-1, POR @ OKC,203145
2019-10-28,"Oct 28, 2019 - POR @ SAS",L,24,3,1,9,11.1,0,3,0.0,1,2,50.0,1,2,3,1,0,3,2,6,-20, POR @ SAS,203145
2019-10-27,"Oct 27, 2019 - POR @ DAL",W,30,11,4,8,50.0,1,2,50.0,2,3,66.7,0,5,5,1,0,0,3,4,2, POR @ DAL,203145
2019-10-25,"Oct 25, 2019 - POR @ SAC",W,24,9,4,7,57.1,1,3,33.3,0,0,0.0,0,8,8,5,0,2,1,5,17, POR @ SAC,203145
2019-10-23,"Oct 23, 2019 - POR vs. DEN",L,25,4,1,7,14.3,0,3,0.0,2,2,100.0,1,1,2,0,5,0,0,2,-11, POR vs. DEN,203145
2019-04-10,"Apr 10, 2019 - ATL vs. IND",L,17,7,2,10,20.0,2,6,33.3,1,2,50.0,0,2,2,2,0,0,1,2,-16, ATL vs. IND,203145
2019-04-07,"Apr 07, 2019 - ATL @ MIL",L,25,12,4,12,33.3,3,7,42.9,1,2,50.0,0,2,2,2,0,0,1,3,2, ATL @ MIL,203145
2019-04-03,"Apr 03, 2019 - ATL vs. PHI",W,20,4,2,4,50.0,0,2,0.0,0,0,0.0,1,1,2,2,1,0,2,4,5, ATL vs. PHI,203145
2019-04-02,"Apr 02, 2019 - ATL @ SAS",L,24,26,10,16,62.5,5,7,71.4,1,2,50.0,0,4,4,2,3,0,2,0,9, ATL @ SAS,203145
2019-03-31,"Mar 31, 2019 - ATL vs. MIL",W,24,6,2,11,18.2,2,6,33.3,0,0,0.0,0,4,4,3,1,1,0,3,-8, ATL vs. MIL,203145
2019-03-29,"Mar 29, 2019 - ATL vs. POR",L,21,3,1,7,14.3,0,2,0.0,1,2,50.0,0,7,7,1,1,0,1,2,-6, ATL vs. POR,203145
2019-03-26,"Mar 26, 2019 - ATL @ NOP",W,11,2,0,6,0.0,0,3,0.0,2,2,100.0,1,1,2,3,1,1,0,0,6, ATL @ NOP,203145
2019-03-23,"Mar 23, 2019 - ATL vs. PHI",W,16,3,1,7,14.3,0,4,0.0,1,3,33.3,0,1,1,0,0,0,0,3,-14, ATL vs. PHI,203145
2019-03-21,"Mar 21, 2019 - ATL vs. UTA",W,15,12,4,9,44.4,4,6,66.7,0,0,0.0,0,2,2,0,0,0,2,0,6, ATL vs. UTA,203145
2019-03-19,"Mar 19, 2019 - ATL vs. HOU",L,17,3,1,3,33.3,0,1,0.0,1,2,50.0,1,4,5,3,1,0,4,3,-9, ATL vs. HOU,203145
2019-03-17,"Mar 17, 2019 - ATL @ ORL",L,25,5,1,6,16.7,0,2,0.0,3,4,75.0,0,8,8,2,1,0,2,1,0, ATL @ ORL,203145
2019-03-16,"Mar 16, 2019 - ATL @ BOS",L,21,12,3,6,50.0,0,2,0.0,6,6,100.0,1,0,1,4,0,0,0,2,2, ATL @ BOS,203145
2019-03-13,"Mar 13, 2019 - ATL vs. MEM",W,17,0,0,6,0.0,0,5,0.0,0,0,0.0,0,2,2,1,0,1,1,3,-8, ATL vs. MEM,203145
2019-03-10,"Mar 10, 2019 - ATL vs. NOP",W,22,13,5,10,50.0,3,5,60.0,0,0,0.0,0,7,7,5,1,0,1,1,15, ATL vs. NOP,203145
