date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-26,"Dec 26, 2019 - UTA vs. POR",W,21,9,4,12,33.3,1,6,16.7,0,0,0.0,0,0,0,0,1,0,1,3,-14, UTA vs. POR,203903
2019-12-20,"Dec 20, 2019 - CLE vs. MEM",W,30,33,12,17,70.6,6,8,75.0,3,5,60.0,2,4,6,1,0,1,1,2,21, CLE vs. MEM,203903
2019-12-18,"Dec 18, 2019 - CLE vs. CHA",W,25,10,4,9,44.4,0,2,0.0,2,2,100.0,1,2,3,3,0,0,1,0,-20, CLE vs. CHA,203903
2019-12-16,"Dec 16, 2019 - CLE @ TOR",L,23,9,2,7,28.6,2,5,40.0,3,3,100.0,0,1,1,0,1,0,0,1,6, CLE @ TOR,203903
2019-12-14,"Dec 14, 2019 - CLE @ MIL",L,18,13,5,9,55.6,3,6,50.0,0,0,0.0,0,0,0,3,2,0,1,0,7, CLE @ MIL,203903
2019-12-12,"Dec 12, 2019 - CLE @ SAS",W,31,25,10,18,55.6,4,11,36.4,1,1,100.0,2,2,4,3,1,0,3,1,-1, CLE @ SAS,203903
2019-12-11,"Dec 11, 2019 - CLE vs. HOU",L,29,17,7,16,43.8,3,9,33.3,0,0,0.0,2,2,4,4,1,1,1,3,5, CLE vs. HOU,203903
2019-12-09,"Dec 09, 2019 - CLE @ BOS",L,26,19,7,14,50.0,3,8,37.5,2,2,100.0,0,3,3,3,1,0,3,1,5, CLE @ BOS,203903
2019-12-07,"Dec 07, 2019 - CLE @ PHI",L,16,10,3,7,42.9,1,3,33.3,3,3,100.0,1,2,3,1,0,0,1,0,-17, CLE @ PHI,203903
2019-12-06,"Dec 06, 2019 - CLE vs. ORL",L,21,8,3,11,27.3,2,7,28.6,0,0,0.0,1,0,1,2,0,0,2,1,-15, CLE vs. ORL,203903
2019-12-03,"Dec 03, 2019 - CLE vs. DET",L,20,10,4,10,40.0,2,7,28.6,0,0,0.0,1,0,1,2,0,0,2,1,-25, CLE vs. DET,203903
2019-11-29,"Nov 29, 2019 - CLE vs. MIL",L,20,8,3,9,33.3,1,4,25.0,1,1,100.0,0,2,2,5,0,0,3,2,-7, CLE vs. MIL,203903
2019-11-27,"Nov 27, 2019 - CLE vs. ORL",L,16,8,3,11,27.3,1,6,16.7,1,1,100.0,0,3,3,3,0,0,3,1,-3, CLE vs. ORL,203903
2019-11-25,"Nov 25, 2019 - CLE vs. BKN",L,26,23,8,17,47.1,5,7,71.4,2,3,66.7,0,2,2,3,0,0,0,2,3, CLE vs. BKN,203903
2019-11-23,"Nov 23, 2019 - CLE vs. POR",W,31,28,6,9,66.7,6,6,100.0,10,12,83.3,0,3,3,3,1,1,0,1,7, CLE vs. POR,203903
2019-11-22,"Nov 22, 2019 - CLE @ DAL",L,15,0,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,1,-24, CLE @ DAL,203903
2019-11-20,"Nov 20, 2019 - CLE @ MIA",L,17,12,4,11,36.4,1,6,16.7,3,3,100.0,3,1,4,2,0,0,2,3,-6, CLE @ MIA,203903
2019-11-18,"Nov 18, 2019 - CLE @ NYK",L,24,13,5,7,71.4,3,5,60.0,0,0,0.0,1,1,2,4,0,0,2,0,4, CLE @ NYK,203903
2019-11-17,"Nov 17, 2019 - CLE vs. PHI",L,23,15,4,9,44.4,1,3,33.3,6,7,85.7,1,1,2,3,1,1,0,1,-1, CLE vs. PHI,203903
2019-11-14,"Nov 14, 2019 - CLE vs. MIA",L,27,10,3,12,25.0,0,4,0.0,4,4,100.0,1,2,3,2,0,0,2,1,2, CLE vs. MIA,203903
2019-11-12,"Nov 12, 2019 - CLE @ PHI",L,26,20,8,16,50.0,1,4,25.0,3,5,60.0,1,3,4,2,0,0,1,0,-1, CLE @ PHI,203903
2019-11-10,"Nov 10, 2019 - CLE @ NYK",W,20,17,6,14,42.9,1,4,25.0,4,4,100.0,0,3,3,1,2,0,3,2,-5, CLE @ NYK,203903
2019-11-08,"Nov 08, 2019 - CLE @ WAS",W,22,10,4,14,28.6,1,7,14.3,1,1,100.0,2,2,4,0,1,0,0,2,-1, CLE @ WAS,203903
2019-11-05,"Nov 05, 2019 - CLE vs. BOS",L,26,12,4,13,30.8,1,5,20.0,3,3,100.0,0,3,3,4,0,2,1,1,-1, CLE vs. BOS,203903
2019-11-03,"Nov 03, 2019 - CLE vs. DAL",L,22,17,6,11,54.5,5,10,50.0,0,0,0.0,0,1,1,1,1,1,1,0,-1, CLE vs. DAL,203903
2019-11-01,"Nov 01, 2019 - CLE @ IND",L,27,20,6,12,50.0,1,6,16.7,7,7,100.0,0,2,2,5,1,1,2,3,-8, CLE @ IND,203903
2019-10-30,"Oct 30, 2019 - CLE vs. CHI",W,26,17,4,6,66.7,1,1,100.0,8,9,88.9,0,0,0,4,0,0,0,2,8, CLE vs. CHI,203903
2019-10-28,"Oct 28, 2019 - CLE @ MIL",L,25,17,6,13,46.2,2,6,33.3,3,3,100.0,0,0,0,4,0,0,1,0,-17, CLE @ MIL,203903
2019-10-26,"Oct 26, 2019 - CLE vs. IND",W,18,15,5,8,62.5,2,3,66.7,3,4,75.0,0,2,2,1,2,0,2,1,1, CLE vs. IND,203903
2019-10-23,"Oct 23, 2019 - CLE @ ORL",L,18,7,2,12,16.7,0,5,0.0,3,3,100.0,1,1,2,0,2,0,1,0,-12, CLE @ ORL,203903
2019-04-09,"Apr 09, 2019 - CLE vs. CHA",L,23,16,7,13,53.8,2,4,50.0,0,0,0.0,2,0,2,3,0,0,2,2,-14, CLE vs. CHA,203903
2019-04-07,"Apr 07, 2019 - CLE vs. SAS",L,25,2,1,8,12.5,0,4,0.0,0,1,0.0,0,0,0,0,0,0,3,0,-24, CLE vs. SAS,203903
2019-04-05,"Apr 05, 2019 - CLE @ GSW",L,32,10,4,15,26.7,2,6,33.3,0,0,0.0,0,2,2,4,0,0,0,1,0, CLE @ GSW,203903
2019-04-04,"Apr 04, 2019 - CLE @ SAC",L,31,22,9,13,69.2,2,5,40.0,2,2,100.0,0,2,2,3,1,0,2,0,-13, CLE @ SAC,203903
2019-04-01,"Apr 01, 2019 - CLE @ PHX",L,33,20,8,16,50.0,1,3,33.3,3,3,100.0,2,4,6,3,1,0,0,0,4, CLE @ PHX,203903
2019-03-30,"Mar 30, 2019 - CLE @ LAC",L,24,26,11,16,68.8,0,2,0.0,4,4,100.0,0,0,0,2,2,0,0,1,6, CLE @ LAC,203903
2019-03-28,"Mar 28, 2019 - CLE @ SAS",L,21,10,4,15,26.7,1,4,25.0,1,2,50.0,3,3,6,3,1,0,2,2,3, CLE @ SAS,203903
2019-03-26,"Mar 26, 2019 - CLE vs. BOS",L,30,18,7,11,63.6,0,1,0.0,4,6,66.7,0,2,2,5,1,0,3,1,2, CLE vs. BOS,203903
2019-03-24,"Mar 24, 2019 - CLE @ MIL",L,35,19,7,16,43.8,1,4,25.0,4,5,80.0,2,1,3,4,0,0,0,2,-7, CLE @ MIL,203903
2019-03-22,"Mar 22, 2019 - CLE vs. LAC",L,33,20,9,19,47.4,2,10,20.0,0,0,0.0,2,3,5,2,1,0,3,0,5, CLE vs. LAC,203903
2019-03-20,"Mar 20, 2019 - CLE vs. MIL",W,32,23,9,17,52.9,1,4,25.0,4,4,100.0,0,5,5,2,2,0,3,0,9, CLE vs. MIL,203903
2019-03-18,"Mar 18, 2019 - CLE vs. DET",W,27,14,6,10,60.0,0,2,0.0,2,2,100.0,0,2,2,1,0,0,1,1,-14, CLE vs. DET,203903
2019-03-16,"Mar 16, 2019 - CLE @ DAL",L,30,17,6,12,50.0,1,5,20.0,4,4,100.0,1,1,2,2,0,0,2,2,-6, CLE @ DAL,203903
2019-03-14,"Mar 14, 2019 - CLE @ ORL",L,27,15,6,18,33.3,1,6,16.7,2,2,100.0,3,1,4,2,1,0,1,1,-6, CLE @ ORL,203903
2019-03-12,"Mar 12, 2019 - CLE @ PHI",L,30,13,5,20,25.0,0,8,0.0,3,4,75.0,1,4,5,2,0,0,0,1,1, CLE @ PHI,203903
2019-03-11,"Mar 11, 2019 - CLE vs. TOR",W,31,14,5,11,45.5,3,7,42.9,1,1,100.0,0,2,2,3,1,0,0,1,18, CLE vs. TOR,203903
2019-03-08,"Mar 08, 2019 - CLE @ MIA",L,29,21,6,10,60.0,6,10,60.0,3,3,100.0,2,0,2,1,0,0,3,4,-11, CLE @ MIA,203903
2019-03-06,"Mar 06, 2019 - CLE @ BKN",L,26,14,5,11,45.5,3,5,60.0,1,2,50.0,0,7,7,1,0,1,2,0,6, CLE @ BKN,203903
2019-03-03,"Mar 03, 2019 - CLE vs. ORL",W,27,18,5,9,55.6,3,6,50.0,5,5,100.0,0,1,1,2,0,0,2,2,20, CLE vs. ORL,203903
2019-03-02,"Mar 02, 2019 - CLE vs. DET",L,23,11,4,13,30.8,0,3,0.0,3,3,100.0,2,1,3,3,2,0,0,2,-16, CLE vs. DET,203903
2019-02-28,"Feb 28, 2019 - CLE @ NYK",W,29,22,7,13,53.8,3,8,37.5,5,6,83.3,0,2,2,1,1,0,1,2,4, CLE @ NYK,203903
2019-02-25,"Feb 25, 2019 - CLE vs. POR",L,28,19,8,18,44.4,1,5,20.0,2,2,100.0,4,1,5,2,1,0,1,0,1, CLE vs. POR,203903
2019-02-23,"Feb 23, 2019 - CLE vs. MEM",W,22,5,2,10,20.0,1,6,16.7,0,0,0.0,1,0,1,1,0,1,3,0,-7, CLE vs. MEM,203903
2019-02-21,"Feb 21, 2019 - CLE vs. PHX",W,24,15,5,12,41.7,2,5,40.0,3,4,75.0,2,2,4,5,0,0,3,1,2, CLE vs. PHX,203903
2019-02-13,"Feb 13, 2019 - CLE vs. BKN",L,48,42,16,34,47.1,7,17,41.2,3,3,100.0,3,5,8,5,1,1,5,2,-10, CLE vs. BKN,203903
