date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-26,"Dec 26, 2019 - UTA vs. POR",W,16,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,4,0,0,1,1,-3, UTA vs. POR,1626144
2019-12-23,"Dec 23, 2019 - UTA @ MIA",L,23,12,6,8,75.0,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,0,-18, UTA @ MIA,1626144
2019-12-21,"Dec 21, 2019 - UTA @ CHA",W,22,12,5,9,55.6,2,4,50.0,0,0,0.0,0,2,2,3,2,0,1,4,5, UTA @ CHA,1626144
2019-12-19,"Dec 19, 2019 - UTA @ ATL",W,19,10,3,9,33.3,2,4,50.0,2,2,100.0,1,3,4,1,0,1,0,0,4, UTA @ ATL,1626144
2019-12-17,"Dec 17, 2019 - UTA vs. ORL",W,11,0,0,1,0.0,0,0,0.0,0,2,0.0,0,2,2,2,0,0,2,1,5, UTA vs. ORL,1626144
2019-12-13,"Dec 13, 2019 - UTA vs. GSW",W,19,4,0,2,0.0,0,0,0.0,4,6,66.7,0,2,2,3,0,0,1,1,-7, UTA vs. GSW,1626144
2019-12-11,"Dec 11, 2019 - UTA @ MIN",W,22,13,4,7,57.1,2,3,66.7,3,4,75.0,1,4,5,2,0,2,1,4,15, UTA @ MIN,1626144
2019-12-09,"Dec 09, 2019 - UTA vs. OKC",L,18,2,0,3,0.0,0,1,0.0,2,2,100.0,0,2,2,1,0,0,1,3,-15, UTA vs. OKC,1626144
2019-12-07,"Dec 07, 2019 - UTA vs. MEM",W,22,11,3,6,50.0,2,3,66.7,3,3,100.0,0,3,3,7,0,0,3,3,9, UTA vs. MEM,1626144
2019-12-04,"Dec 04, 2019 - UTA vs. LAL",L,10,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-16, UTA vs. LAL,1626144
2019-12-02,"Dec 02, 2019 - UTA @ PHI",L,5,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,3, UTA @ PHI,1626144
2019-12-01,"Dec 01, 2019 - UTA @ TOR",L,17,2,1,7,14.3,0,3,0.0,0,0,0.0,0,1,1,3,0,0,3,3,-11, UTA @ TOR,1626144
2019-11-29,"Nov 29, 2019 - UTA @ MEM",W,10,2,1,5,20.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,-4, UTA @ MEM,1626144
2019-11-27,"Nov 27, 2019 - UTA @ IND",L,13,2,1,6,16.7,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,1,-1, UTA @ IND,1626144
2019-11-25,"Nov 25, 2019 - UTA @ MIL",L,19,12,5,6,83.3,1,1,100.0,1,2,50.0,0,5,5,5,0,0,4,5,5, UTA @ MIL,1626144
2019-11-23,"Nov 23, 2019 - UTA vs. NOP",W,15,10,4,6,66.7,1,3,33.3,1,2,50.0,1,5,6,1,0,0,1,1,9, UTA vs. NOP,1626144
2019-11-22,"Nov 22, 2019 - UTA vs. GSW",W,15,11,5,6,83.3,1,1,100.0,0,0,0.0,0,2,2,1,0,0,3,2,3, UTA vs. GSW,1626144
2019-11-20,"Nov 20, 2019 - UTA @ MIN",W,16,2,1,7,14.3,0,1,0.0,0,0,0.0,2,3,5,0,1,0,1,3,-24, UTA @ MIN,1626144
2019-11-18,"Nov 18, 2019 - UTA vs. MIN",L,14,4,2,4,50.0,0,1,0.0,0,0,0.0,1,0,1,1,1,1,2,1,-4, UTA vs. MIN,1626144
2019-11-15,"Nov 15, 2019 - UTA @ MEM",L,13,7,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,3,1,-8, UTA @ MEM,1626144
2019-11-12,"Nov 12, 2019 - UTA vs. BKN",W,18,15,4,8,50.0,0,1,0.0,7,8,87.5,0,3,3,2,1,0,0,1,8, UTA vs. BKN,1626144
2019-11-11,"Nov 11, 2019 - UTA @ GSW",W,15,11,4,5,80.0,1,1,100.0,2,2,100.0,0,4,4,1,0,0,2,2,2, UTA @ GSW,1626144
2019-11-01,"Nov 01, 2019 - UTA @ SAC",L,15,6,3,5,60.0,0,1,0.0,0,2,0.0,0,0,0,2,1,1,3,0,6, UTA @ SAC,1626144
