date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAC @ LAL",W,14,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-7, LAC @ LAL,202335
2019-12-22,"Dec 22, 2019 - LAC @ OKC",L,18,12,5,7,71.4,2,3,66.7,0,0,0.0,5,1,6,2,0,1,1,1,-10, LAC @ OKC,202335
2019-12-21,"Dec 21, 2019 - LAC @ SAS",W,19,3,1,5,20.0,1,5,20.0,0,0,0.0,2,4,6,1,1,0,0,0,3, LAC @ SAS,202335
2019-12-19,"Dec 19, 2019 - LAC vs. HOU",L,13,6,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0,1,0,0,1,2,-7, LAC vs. HOU,202335
2019-12-17,"Dec 17, 2019 - LAC vs. PHX",W,13,6,2,4,50.0,2,4,50.0,0,0,0.0,0,4,4,0,0,0,1,0,6, LAC vs. PHX,202335
2019-12-14,"Dec 14, 2019 - LAC @ CHI",L,22,11,3,4,75.0,2,3,66.7,3,6,50.0,2,4,6,0,0,0,0,0,23, LAC @ CHI,202335
2019-12-13,"Dec 13, 2019 - LAC @ MIN",W,19,2,0,2,0.0,0,2,0.0,2,2,100.0,0,6,6,1,0,0,1,0,-10, LAC @ MIN,202335
2019-12-11,"Dec 11, 2019 - LAC @ TOR",W,24,11,3,8,37.5,1,4,25.0,4,4,100.0,2,5,7,2,0,0,0,0,13, LAC @ TOR,202335
2019-12-09,"Dec 09, 2019 - LAC @ IND",W,15,5,1,5,20.0,1,4,25.0,2,2,100.0,0,0,0,0,1,0,0,1,5, LAC @ IND,202335
2019-12-06,"Dec 06, 2019 - LAC @ MIL",L,7,0,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,2,-3, LAC @ MIL,202335
2019-12-03,"Dec 03, 2019 - LAC vs. POR",W,26,19,6,10,60.0,5,7,71.4,2,2,100.0,2,6,8,2,1,0,0,1,17, LAC vs. POR,202335
2019-12-01,"Dec 01, 2019 - LAC vs. WAS",W,14,6,2,4,50.0,2,4,50.0,0,0,0.0,0,2,2,1,0,0,1,1,9, LAC vs. WAS,202335
2019-11-29,"Nov 29, 2019 - LAC @ SAS",L,3,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,6, LAC @ SAS,202335
2019-11-27,"Nov 27, 2019 - LAC @ MEM",W,7,10,3,6,50.0,2,5,40.0,2,2,100.0,1,1,2,0,0,0,0,0,5, LAC @ MEM,202335
2019-11-26,"Nov 26, 2019 - LAC @ DAL",W,3,0,0,1,0.0,0,1,0.0,0,2,0.0,0,1,1,0,0,0,0,1,-9, LAC @ DAL,202335
2019-11-24,"Nov 24, 2019 - LAC vs. NOP",W,3,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,4, LAC vs. NOP,202335
2019-11-18,"Nov 18, 2019 - LAC vs. OKC",W,6,3,1,4,25.0,1,4,25.0,0,0,0.0,0,4,4,0,0,1,0,0,3, LAC vs. OKC,202335
2019-11-16,"Nov 16, 2019 - LAC vs. ATL",W,8,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,11, LAC vs. ATL,202335
2019-11-14,"Nov 14, 2019 - LAC @ NOP",L,3,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,-4, LAC @ NOP,202335
2019-11-13,"Nov 13, 2019 - LAC @ HOU",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-12, LAC @ HOU,202335
2019-11-11,"Nov 11, 2019 - LAC vs. TOR",W,15,12,4,9,44.4,4,8,50.0,0,0,0.0,2,0,2,1,0,0,0,1,-4, LAC vs. TOR,202335
2019-11-07,"Nov 07, 2019 - LAC vs. POR",W,20,6,2,7,28.6,1,4,25.0,1,2,50.0,1,2,3,1,0,0,0,0,-3, LAC vs. POR,202335
2019-11-06,"Nov 06, 2019 - LAC vs. MIL",L,13,2,1,2,50.0,0,1,0.0,0,0,0.0,0,5,5,0,0,0,1,0,3, LAC vs. MIL,202335
2019-11-03,"Nov 03, 2019 - LAC vs. UTA",W,12,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-15, LAC vs. UTA,202335
2019-10-31,"Oct 31, 2019 - LAC vs. SAS",W,19,0,0,5,0.0,0,5,0.0,0,0,0.0,4,5,9,2,1,0,1,0,6, LAC vs. SAS,202335
2019-10-30,"Oct 30, 2019 - LAC @ UTA",L,29,3,1,4,25.0,1,2,50.0,0,0,0.0,1,2,3,2,0,0,0,2,5, LAC @ UTA,202335
2019-10-28,"Oct 28, 2019 - LAC vs. CHA",W,23,3,1,2,50.0,1,1,100.0,0,0,0.0,1,2,3,3,1,0,1,2,18, LAC vs. CHA,202335
2019-10-26,"Oct 26, 2019 - LAC @ PHX",L,31,5,2,8,25.0,1,5,20.0,0,0,0.0,0,7,7,1,0,1,0,2,-12, LAC @ PHX,202335
2019-10-24,"Oct 24, 2019 - LAC @ GSW",W,28,20,7,13,53.8,6,10,60.0,0,0,0.0,0,3,3,1,0,0,1,3,30, LAC @ GSW,202335
2019-10-22,"Oct 22, 2019 - LAC vs. LAL",W,17,4,1,3,33.3,1,3,33.3,1,2,50.0,1,2,3,0,0,0,0,2,-2, LAC vs. LAL,202335
2019-04-07,"Apr 07, 2019 - OKC @ MIN",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-7, OKC @ MIN,202335
2019-04-05,"Apr 05, 2019 - OKC vs. DET",W,4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,3, OKC vs. DET,202335
2019-03-18,"Mar 18, 2019 - OKC vs. MIA",L,5,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-6, OKC vs. MIA,202335
2019-03-16,"Mar 16, 2019 - OKC vs. GSW",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2, OKC vs. GSW,202335
2019-03-11,"Mar 11, 2019 - OKC @ UTA",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-6, OKC @ UTA,202335
2019-02-28,"Feb 28, 2019 - OKC vs. PHI",L,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-2, OKC vs. PHI,202335
2019-02-14,"Feb 14, 2019 - OKC @ NOP",L,15,5,2,8,25.0,0,4,0.0,1,1,100.0,1,2,3,0,0,0,1,2,-20, OKC @ NOP,202335
2019-02-11,"Feb 11, 2019 - OKC vs. POR",W,23,0,0,5,0.0,0,4,0.0,0,0,0.0,2,5,7,0,1,0,0,2,3, OKC vs. POR,202335
2019-02-09,"Feb 09, 2019 - OKC @ HOU",W,7,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,-13, OKC @ HOU,202335
2019-02-07,"Feb 07, 2019 - OKC vs. MEM",W,21,5,2,2,100.0,1,1,100.0,0,0,0.0,1,3,4,1,1,0,2,1,0, OKC vs. MEM,202335
2019-02-05,"Feb 05, 2019 - OKC vs. ORL",W,13,3,1,2,50.0,1,1,100.0,0,0,0.0,1,2,3,0,0,0,0,1,-8, OKC vs. ORL,202335
2019-02-03,"Feb 03, 2019 - OKC @ BOS",L,15,5,2,2,100.0,1,1,100.0,0,0,0.0,0,3,3,1,1,1,0,1,5, OKC @ BOS,202335
2019-02-01,"Feb 01, 2019 - OKC @ MIA",W,16,5,2,4,50.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,1,1,0, OKC @ MIA,202335
2019-01-29,"Jan 29, 2019 - OKC @ ORL",W,18,0,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,0,5, OKC @ ORL,202335
2019-01-27,"Jan 27, 2019 - OKC vs. MIL",W,15,0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,0,7, OKC vs. MIL,202335
