date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAL vs. LAC",L,11,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,1,2,0,0,0,-5, LAL vs. LAC,1627936
2019-12-22,"Dec 22, 2019 - LAL vs. DEN",L,22,8,0,1,0.0,0,1,0.0,8,8,100.0,0,2,2,0,1,1,0,0,-14, LAL vs. DEN,1627936
2019-12-19,"Dec 19, 2019 - LAL @ MIL",L,17,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-11, LAL @ MIL,1627936
2019-12-17,"Dec 17, 2019 - LAL @ IND",L,25,11,4,8,50.0,2,5,40.0,1,1,100.0,1,3,4,3,2,0,0,3,9, LAL @ IND,1627936
2019-12-15,"Dec 15, 2019 - LAL @ ATL",W,15,2,0,2,0.0,0,2,0.0,2,2,100.0,1,1,2,1,1,0,0,2,2, LAL @ ATL,1627936
2019-12-13,"Dec 13, 2019 - LAL @ MIA",W,11,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,6, LAL @ MIA,1627936
2019-12-11,"Dec 11, 2019 - LAL @ ORL",W,28,7,2,4,50.0,2,2,100.0,1,2,50.0,1,5,6,0,1,0,2,0,13, LAL @ ORL,1627936
2019-12-08,"Dec 08, 2019 - LAL vs. MIN",W,30,16,6,11,54.5,2,3,66.7,2,4,50.0,0,4,4,4,2,0,0,1,7, LAL vs. MIN,1627936
2019-12-06,"Dec 06, 2019 - LAL @ POR",W,24,8,2,4,50.0,1,1,100.0,3,4,75.0,0,1,1,2,1,0,1,4,13, LAL @ POR,1627936
2019-12-04,"Dec 04, 2019 - LAL @ UTA",W,21,5,2,4,50.0,1,2,50.0,0,0,0.0,0,3,3,1,1,0,1,1,14, LAL @ UTA,1627936
2019-12-03,"Dec 03, 2019 - LAL @ DEN",W,16,6,2,3,66.7,0,1,0.0,2,2,100.0,1,3,4,0,1,1,1,6,11, LAL @ DEN,1627936
2019-12-01,"Dec 01, 2019 - LAL vs. DAL",L,25,10,4,5,80.0,2,2,100.0,0,0,0.0,1,3,4,1,0,0,2,1,7, LAL vs. DAL,1627936
2019-11-29,"Nov 29, 2019 - LAL vs. WAS",W,19,2,0,3,0.0,0,2,0.0,2,4,50.0,0,3,3,3,1,0,1,2,-2, LAL vs. WAS,1627936
2019-11-27,"Nov 27, 2019 - LAL @ NOP",W,25,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,2,1,1,0,2,23, LAL @ NOP,1627936
2019-11-25,"Nov 25, 2019 - LAL @ SAS",W,13,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-5, LAL @ SAS,1627936
2019-11-22,"Nov 22, 2019 - LAL @ OKC",W,17,5,2,5,40.0,1,4,25.0,0,0,0.0,0,0,0,2,2,0,2,0,-2, LAL @ OKC,1627936
2019-11-19,"Nov 19, 2019 - LAL vs. OKC",W,20,8,3,6,50.0,2,4,50.0,0,0,0.0,0,3,3,0,1,0,1,2,0, LAL vs. OKC,1627936
2019-11-17,"Nov 17, 2019 - LAL vs. ATL",W,21,11,5,7,71.4,1,2,50.0,0,0,0.0,0,1,1,1,0,0,1,3,6, LAL vs. ATL,1627936
2019-11-15,"Nov 15, 2019 - LAL vs. SAC",W,29,10,4,10,40.0,2,7,28.6,0,0,0.0,0,0,0,3,3,0,0,3,5, LAL vs. SAC,1627936
2019-11-13,"Nov 13, 2019 - LAL vs. GSW",W,27,8,3,7,42.9,1,2,50.0,1,1,100.0,0,6,6,3,1,0,0,0,15, LAL vs. GSW,1627936
2019-11-12,"Nov 12, 2019 - LAL @ PHX",W,25,2,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,3,1,1,0,1,15, LAL @ PHX,1627936
2019-11-10,"Nov 10, 2019 - LAL vs. TOR",L,17,3,1,3,33.3,0,1,0.0,1,2,50.0,0,2,2,4,0,0,1,1,-4, LAL vs. TOR,1627936
2019-11-08,"Nov 08, 2019 - LAL vs. MIA",W,19,6,3,6,50.0,0,1,0.0,0,0,0.0,0,3,3,4,0,1,1,1,1, LAL vs. MIA,1627936
2019-11-05,"Nov 05, 2019 - LAL @ CHI",W,24,7,2,8,25.0,1,4,25.0,2,3,66.7,1,2,3,1,2,0,2,1,2, LAL @ CHI,1627936
2019-11-03,"Nov 03, 2019 - LAL @ SAS",W,20,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,3,2,1,3,1,-13, LAL @ SAS,1627936
2019-11-01,"Nov 01, 2019 - LAL @ DAL",W,16,7,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,1,1,-3, LAL @ DAL,1627936
2019-10-29,"Oct 29, 2019 - LAL vs. MEM",W,13,0,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,4,3,1,2,0,14, LAL vs. MEM,1627936
2019-10-27,"Oct 27, 2019 - LAL vs. CHA",W,13,5,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,1,1,1,1,3,17, LAL vs. CHA,1627936
2019-10-25,"Oct 25, 2019 - LAL vs. UTA",W,20,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2,1,-2, LAL vs. UTA,1627936
2019-04-09,"Apr 09, 2019 - LAL vs. POR",L,41,12,5,16,31.3,0,2,0.0,2,2,100.0,2,5,7,13,1,1,7,3,2, LAL vs. POR,1627936
2019-04-07,"Apr 07, 2019 - LAL vs. UTA",W,43,18,8,20,40.0,0,3,0.0,2,4,50.0,0,0,0,11,1,0,5,5,1, LAL vs. UTA,1627936
2019-04-05,"Apr 05, 2019 - LAL @ LAC",W,38,32,10,19,52.6,5,7,71.4,7,7,100.0,2,8,10,5,2,1,3,2,2, LAL @ LAC,1627936
2019-04-04,"Apr 04, 2019 - LAL vs. GSW",L,37,9,4,14,28.6,1,3,33.3,0,0,0.0,2,3,5,6,1,0,3,0,-18, LAL vs. GSW,1627936
2019-04-02,"Apr 02, 2019 - LAL @ OKC",L,29,15,5,9,55.6,1,1,100.0,4,6,66.7,0,2,2,7,2,0,5,2,-2, LAL @ OKC,1627936
2019-03-31,"Mar 31, 2019 - LAL @ NOP",W,29,23,7,11,63.6,4,4,100.0,5,6,83.3,2,1,3,6,4,0,2,3,24, LAL @ NOP,1627936
2019-03-29,"Mar 29, 2019 - LAL vs. CHA",W,18,7,3,6,50.0,1,3,33.3,0,0,0.0,0,1,1,1,1,0,3,1,0, LAL vs. CHA,1627936
2019-03-27,"Mar 27, 2019 - LAL @ UTA",L,26,13,5,10,50.0,2,4,50.0,1,2,50.0,0,1,1,4,1,0,1,5,2, LAL @ UTA,1627936
2019-03-26,"Mar 26, 2019 - LAL vs. WAS",W,20,4,1,3,33.3,1,3,33.3,1,2,50.0,0,3,3,3,0,0,2,1,12, LAL vs. WAS,1627936
2019-03-24,"Mar 24, 2019 - LAL vs. SAC",W,18,6,2,6,33.3,0,3,0.0,2,2,100.0,0,2,2,0,0,0,1,3,2, LAL vs. SAC,1627936
2019-03-22,"Mar 22, 2019 - LAL vs. BKN",L,35,10,3,10,30.0,2,4,50.0,2,2,100.0,2,6,8,2,1,0,3,5,9, LAL vs. BKN,1627936
2019-03-19,"Mar 19, 2019 - LAL @ MIL",L,22,4,0,6,0.0,0,1,0.0,4,4,100.0,3,1,4,2,2,0,2,1,3, LAL @ MIL,1627936
2019-03-17,"Mar 17, 2019 - LAL @ NYK",L,28,12,3,6,50.0,1,1,100.0,5,6,83.3,2,1,3,2,5,3,0,3,7, LAL @ NYK,1627936
2019-03-15,"Mar 15, 2019 - LAL @ DET",L,24,16,4,11,36.4,2,4,50.0,6,8,75.0,2,2,4,2,2,1,1,3,0, LAL @ DET,1627936
2019-03-14,"Mar 14, 2019 - LAL @ TOR",L,27,16,5,7,71.4,1,1,100.0,5,5,100.0,1,4,5,5,0,0,1,4,-3, LAL @ TOR,1627936
2019-03-12,"Mar 12, 2019 - LAL @ CHI",W,11,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,1,0,2,1,0, LAL @ CHI,1627936
2019-03-09,"Mar 09, 2019 - LAL vs. BOS",L,30,8,3,3,100.0,0,0,0.0,2,2,100.0,0,2,2,2,0,1,0,5,5, LAL vs. BOS,1627936
2019-03-06,"Mar 06, 2019 - LAL vs. DEN",L,29,15,6,11,54.5,1,4,25.0,2,2,100.0,1,5,6,3,0,0,1,3,1, LAL vs. DEN,1627936
2019-03-04,"Mar 04, 2019 - LAL vs. LAC",L,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-4, LAL vs. LAC,1627936
2019-02-23,"Feb 23, 2019 - LAL @ NOP",L,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1, LAL @ NOP,1627936
2019-01-29,"Jan 29, 2019 - LAL vs. PHI",L,1,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1, LAL vs. PHI,1627936
2019-01-27,"Jan 27, 2019 - LAL vs. PHX",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2, LAL vs. PHX,1627936
2019-01-21,"Jan 21, 2019 - LAL vs. GSW",L,12,6,2,3,66.7,1,1,100.0,1,4,25.0,0,0,0,1,0,2,0,1,11, LAL vs. GSW,1627936
2018-12-28,"Dec 28, 2018 - LAL vs. LAC",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-4, LAL vs. LAC,1627936
2018-12-27,"Dec 27, 2018 - LAL @ SAC",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,-2, LAL @ SAC,1627936
2018-04-11,"Apr 11, 2018 - LAL @ LAC",W,29,15,5,11,45.5,3,4,75.0,2,4,50.0,3,4,7,2,0,0,2,4,21, LAL @ LAC,1627936
2018-04-10,"Apr 10, 2018 - LAL vs. HOU",L,27,9,3,8,37.5,1,4,25.0,2,2,100.0,1,3,4,6,2,0,3,3,12, LAL vs. HOU,1627936
2018-04-08,"Apr 08, 2018 - LAL vs. UTA",L,16,6,2,4,50.0,0,1,0.0,2,2,100.0,1,3,4,3,1,0,1,2,-17, LAL vs. UTA,1627936
2018-04-06,"Apr 06, 2018 - LAL vs. MIN",L,14,2,1,4,25.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,1,1,-12, LAL vs. MIN,1627936
2018-04-04,"Apr 04, 2018 - LAL vs. SAS",W,19,5,2,2,100.0,1,1,100.0,0,0,0.0,0,3,3,3,1,0,2,1,-3, LAL vs. SAS,1627936
2018-04-03,"Apr 03, 2018 - LAL @ UTA",L,15,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,1,1,-9, LAL @ UTA,1627936
2018-04-01,"Apr 01, 2018 - LAL vs. SAC",L,30,7,3,7,42.9,1,3,33.3,0,0,0.0,1,3,4,2,1,1,3,0,-13, LAL vs. SAC,1627936
2018-03-30,"Mar 30, 2018 - LAL vs. MIL",L,31,6,2,5,40.0,1,1,100.0,1,2,50.0,1,3,4,6,1,0,3,5,9, LAL vs. MIL,1627936
2018-03-28,"Mar 28, 2018 - LAL vs. DAL",W,16,5,1,6,16.7,0,4,0.0,3,4,75.0,0,1,1,3,0,1,1,2,11, LAL vs. DAL,1627936
2018-03-14,"Mar 14, 2018 - LAL @ GSW",L,21,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,0,2,2,2,2,-6, LAL @ GSW,1627936
2018-03-13,"Mar 13, 2018 - LAL vs. DEN",W,10,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,0,0,0,6, LAL vs. DEN,1627936
2018-03-11,"Mar 11, 2018 - LAL vs. CLE",W,12,4,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,0,-1, LAL vs. CLE,1627936
2018-03-07,"Mar 07, 2018 - LAL vs. ORL",W,13,4,1,2,50.0,0,1,0.0,2,2,100.0,0,2,2,1,1,0,2,0,15, LAL vs. ORL,1627936
2018-02-10,"Feb 10, 2018 - LAL @ DAL",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3, LAL @ DAL,1627936
2018-02-08,"Feb 08, 2018 - LAL vs. OKC",W,18,0,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,5,1,1,1,3,7, LAL vs. OKC,1627936
2018-02-06,"Feb 06, 2018 - LAL vs. PHX",W,14,4,0,1,0.0,0,1,0.0,4,4,100.0,0,1,1,1,0,0,0,3,-1, LAL vs. PHX,1627936
