date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-25,"Dec 25, 2019 - LAL vs. LAC",L,29,6,2,8,25.0,2,7,28.6,0,0,0.0,1,2,3,1,2,0,1,5,-8, LAL vs. LAC,201980
2019-12-22,"Dec 22, 2019 - LAL vs. DEN",L,18,5,1,4,25.0,1,3,33.3,2,3,66.7,1,3,4,2,0,0,2,2,-4, LAL vs. DEN,201980
2019-12-19,"Dec 19, 2019 - LAL @ MIL",L,35,21,7,13,53.8,7,12,58.3,0,1,0.0,1,3,4,0,0,1,1,1,9, LAL @ MIL,201980
2019-12-17,"Dec 17, 2019 - LAL @ IND",L,28,6,2,4,50.0,2,4,50.0,0,0,0.0,1,1,2,2,0,1,2,2,5, LAL @ IND,201980
2019-12-15,"Dec 15, 2019 - LAL @ ATL",W,21,10,2,8,25.0,0,5,0.0,6,6,100.0,1,5,6,0,2,0,0,1,5, LAL @ ATL,201980
2019-12-13,"Dec 13, 2019 - LAL @ MIA",W,27,9,2,7,28.6,2,6,33.3,3,3,100.0,0,2,2,1,0,1,2,1,2, LAL @ MIA,201980
2019-12-11,"Dec 11, 2019 - LAL @ ORL",W,29,8,4,11,36.4,0,6,0.0,0,0,0.0,2,3,5,3,1,1,0,1,-8, LAL @ ORL,201980
2019-12-08,"Dec 08, 2019 - LAL vs. MIN",W,26,12,4,6,66.7,4,6,66.7,0,0,0.0,0,8,8,1,2,0,0,4,27, LAL vs. MIN,201980
2019-12-06,"Dec 06, 2019 - LAL @ POR",W,21,3,1,3,33.3,1,3,33.3,0,0,0.0,0,5,5,2,1,1,1,2,5, LAL @ POR,201980
2019-12-04,"Dec 04, 2019 - LAL @ UTA",W,21,6,2,4,50.0,2,4,50.0,0,0,0.0,1,4,5,0,0,1,1,2,2, LAL @ UTA,201980
2019-12-03,"Dec 03, 2019 - LAL @ DEN",W,31,5,2,12,16.7,1,7,14.3,0,0,0.0,1,6,7,3,3,0,0,2,2, LAL @ DEN,201980
2019-12-01,"Dec 01, 2019 - LAL vs. DAL",L,28,8,3,10,30.0,2,8,25.0,0,0,0.0,0,2,2,1,1,0,1,0,-4, LAL vs. DAL,201980
2019-11-29,"Nov 29, 2019 - LAL vs. WAS",W,21,11,4,6,66.7,3,5,60.0,0,0,0.0,0,2,2,0,1,0,0,3,18, LAL vs. WAS,201980
2019-11-27,"Nov 27, 2019 - LAL @ NOP",W,21,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,0,1,1,2,3,-8, LAL @ NOP,201980
2019-11-25,"Nov 25, 2019 - LAL @ SAS",W,28,6,3,7,42.9,0,4,0.0,0,0,0.0,2,7,9,1,0,1,0,1,6, LAL @ SAS,201980
2019-11-23,"Nov 23, 2019 - LAL @ MEM",W,27,8,2,7,28.6,2,7,28.6,2,2,100.0,0,5,5,2,3,0,3,1,2, LAL @ MEM,201980
2019-11-22,"Nov 22, 2019 - LAL @ OKC",W,29,14,5,8,62.5,4,6,66.7,0,0,0.0,1,3,4,0,0,1,0,3,10, LAL @ OKC,201980
2019-11-19,"Nov 19, 2019 - LAL vs. OKC",W,21,5,2,3,66.7,1,2,50.0,0,0,0.0,1,4,5,3,0,0,1,4,2, LAL vs. OKC,201980
2019-11-17,"Nov 17, 2019 - LAL vs. ATL",W,24,11,4,7,57.1,3,6,50.0,0,0,0.0,2,4,6,2,3,2,1,0,11, LAL vs. ATL,201980
2019-11-15,"Nov 15, 2019 - LAL vs. SAC",W,26,6,2,8,25.0,1,6,16.7,1,1,100.0,2,2,4,0,2,1,1,1,8, LAL vs. SAC,201980
2019-11-13,"Nov 13, 2019 - LAL vs. GSW",W,19,6,2,2,100.0,2,2,100.0,0,0,0.0,0,1,1,0,1,0,2,1,7, LAL vs. GSW,201980
2019-11-12,"Nov 12, 2019 - LAL @ PHX",W,25,14,5,8,62.5,3,5,60.0,1,2,50.0,0,1,1,3,0,0,1,5,7, LAL @ PHX,201980
2019-11-10,"Nov 10, 2019 - LAL vs. TOR",L,27,0,0,5,0.0,0,4,0.0,0,0,0.0,1,2,3,2,1,1,1,1,-3, LAL vs. TOR,201980
2019-11-08,"Nov 08, 2019 - LAL vs. MIA",W,23,4,1,7,14.3,1,5,20.0,1,1,100.0,1,2,3,2,2,0,2,4,17, LAL vs. MIA,201980
2019-11-05,"Nov 05, 2019 - LAL @ CHI",W,26,7,3,5,60.0,1,3,33.3,0,0,0.0,0,4,4,2,2,1,1,2,4, LAL @ CHI,201980
2019-11-03,"Nov 03, 2019 - LAL @ SAS",W,23,3,1,4,25.0,1,3,33.3,0,0,0.0,0,1,1,0,1,0,2,5,10, LAL @ SAS,201980
2019-11-01,"Nov 01, 2019 - LAL @ DAL",W,34,14,5,9,55.6,3,6,50.0,1,2,50.0,0,1,1,1,1,0,1,2,8, LAL @ DAL,201980
2019-10-29,"Oct 29, 2019 - LAL vs. MEM",W,19,8,3,6,50.0,2,5,40.0,0,0,0.0,0,0,0,1,1,0,1,3,3, LAL vs. MEM,201980
2019-10-27,"Oct 27, 2019 - LAL vs. CHA",W,26,5,2,10,20.0,1,5,20.0,0,0,0.0,0,4,4,2,0,0,0,2,6, LAL vs. CHA,201980
2019-10-25,"Oct 25, 2019 - LAL vs. UTA",W,28,9,3,8,37.5,2,5,40.0,1,2,50.0,2,2,4,1,3,1,1,4,7, LAL vs. UTA,201980
2019-10-22,"Oct 22, 2019 - LAL @ LAC",L,32,28,10,14,71.4,7,9,77.8,1,1,100.0,1,6,7,0,2,1,0,3,7, LAL @ LAC,201980
2019-04-09,"Apr 09, 2019 - TOR @ MIN",W,24,7,2,5,40.0,1,3,33.3,2,2,100.0,0,2,2,4,1,1,1,0,10, TOR @ MIN,201980
2019-04-07,"Apr 07, 2019 - TOR vs. MIA",W,35,21,7,13,53.8,5,9,55.6,2,2,100.0,0,3,3,2,0,2,1,1,18, TOR vs. MIA,201980
2019-04-05,"Apr 05, 2019 - TOR @ CHA",L,19,8,3,6,50.0,2,3,66.7,0,0,0.0,1,2,3,0,1,0,0,3,-7, TOR @ CHA,201980
2019-04-03,"Apr 03, 2019 - TOR @ BKN",W,25,2,1,5,20.0,0,4,0.0,0,0,0.0,1,1,2,3,3,1,0,1,8, TOR @ BKN,201980
2019-04-01,"Apr 01, 2019 - TOR vs. ORL",W,28,29,11,15,73.3,7,10,70.0,0,0,0.0,0,5,5,1,2,3,3,2,19, TOR vs. ORL,201980
2019-03-30,"Mar 30, 2019 - TOR @ CHI",W,19,8,3,5,60.0,2,2,100.0,0,0,0.0,0,3,3,2,1,0,1,0,10, TOR @ CHI,201980
2019-03-28,"Mar 28, 2019 - TOR @ NYK",W,20,15,5,9,55.6,5,8,62.5,0,0,0.0,2,2,4,2,1,0,1,3,24, TOR @ NYK,201980
2019-03-26,"Mar 26, 2019 - TOR vs. CHI",W,15,8,3,4,75.0,2,3,66.7,0,0,0.0,0,2,2,2,1,0,0,1,10, TOR vs. CHI,201980
2019-03-24,"Mar 24, 2019 - TOR vs. CHA",L,27,2,1,5,20.0,0,3,0.0,0,0,0.0,0,4,4,2,1,2,0,1,16, TOR vs. CHA,201980
2019-03-22,"Mar 22, 2019 - TOR vs. OKC",L,35,19,6,11,54.5,6,11,54.5,1,2,50.0,0,7,7,1,0,0,0,4,-1, TOR vs. OKC,201980
2019-03-20,"Mar 20, 2019 - TOR @ OKC",W,36,17,6,10,60.0,5,9,55.6,0,0,0.0,0,5,5,6,2,0,2,3,-5, TOR @ OKC,201980
2019-03-18,"Mar 18, 2019 - TOR vs. NYK",W,22,13,4,6,66.7,3,4,75.0,2,5,40.0,2,2,4,1,0,0,0,0,32, TOR vs. NYK,201980
2019-03-17,"Mar 17, 2019 - TOR @ DET",L,30,12,4,9,44.4,4,8,50.0,0,0,0.0,0,3,3,4,0,0,1,1,8, TOR @ DET,201980
2019-03-14,"Mar 14, 2019 - TOR vs. LAL",W,19,3,1,3,33.3,1,3,33.3,0,0,0.0,2,2,4,2,2,0,3,3,9, TOR vs. LAL,201980
2019-03-11,"Mar 11, 2019 - TOR @ CLE",L,20,5,2,5,40.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,1,0,-12, TOR @ CLE,201980
2019-03-10,"Mar 10, 2019 - TOR @ MIA",W,26,15,5,9,55.6,5,8,62.5,0,0,0.0,0,6,6,4,1,0,3,3,15, TOR @ MIA,201980
2019-03-08,"Mar 08, 2019 - TOR @ NOP",W,24,13,5,8,62.5,3,4,75.0,0,0,0.0,0,3,3,2,1,1,1,0,12, TOR @ NOP,201980
2019-03-05,"Mar 05, 2019 - TOR vs. HOU",L,32,14,4,13,30.8,4,13,30.8,2,2,100.0,1,4,5,1,0,0,0,0,19, TOR vs. HOU,201980
2019-03-03,"Mar 03, 2019 - TOR @ DET",L,29,6,2,6,33.3,2,4,50.0,0,0,0.0,1,1,2,1,3,0,2,5,-4, TOR @ DET,201980
2019-03-01,"Mar 01, 2019 - TOR vs. POR",W,24,11,4,5,80.0,3,4,75.0,0,0,0.0,0,1,1,1,0,0,1,1,13, TOR vs. POR,201980
2019-02-26,"Feb 26, 2019 - TOR vs. BOS",W,14,6,2,7,28.6,2,4,50.0,0,0,0.0,1,2,3,2,1,0,0,4,8, TOR vs. BOS,201980
2019-02-24,"Feb 24, 2019 - TOR vs. ORL",L,27,10,4,9,44.4,2,4,50.0,0,0,0.0,0,6,6,4,0,0,2,2,3, TOR vs. ORL,201980
2019-02-22,"Feb 22, 2019 - TOR vs. SAS",W,29,17,6,9,66.7,5,7,71.4,0,0,0.0,1,3,4,0,1,0,0,2,3, TOR vs. SAS,201980
2019-02-13,"Feb 13, 2019 - TOR vs. WAS",W,28,10,3,6,50.0,2,4,50.0,2,2,100.0,0,4,4,0,0,0,0,1,-4, TOR vs. WAS,201980
2019-02-11,"Feb 11, 2019 - TOR vs. BKN",W,33,9,3,8,37.5,3,8,37.5,0,0,0.0,0,4,4,5,3,0,2,3,9, TOR vs. BKN,201980
2019-02-09,"Feb 09, 2019 - TOR @ NYK",W,30,14,5,9,55.6,4,6,66.7,0,0,0.0,1,3,4,0,0,1,0,0,8, TOR @ NYK,201980
2019-02-07,"Feb 07, 2019 - TOR @ ATL",W,27,12,4,7,57.1,1,4,25.0,3,3,100.0,1,3,4,0,1,0,0,2,3, TOR @ ATL,201980
2019-02-05,"Feb 05, 2019 - TOR @ PHI",W,21,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,4,1,0,0,3,6, TOR @ PHI,201980
2019-02-03,"Feb 03, 2019 - TOR vs. LAC",W,20,4,2,4,50.0,0,1,0.0,0,0,0.0,1,2,3,4,0,0,0,1,8, TOR vs. LAC,201980
2019-01-31,"Jan 31, 2019 - TOR vs. MIL",L,13,0,0,4,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,1,1,0,-14, TOR vs. MIL,201980
2019-01-27,"Jan 27, 2019 - TOR @ DAL",W,31,10,4,6,66.7,2,3,66.7,0,0,0.0,1,6,7,1,2,0,0,4,8, TOR @ DAL,201980
2019-01-25,"Jan 25, 2019 - TOR @ HOU",L,31,22,8,14,57.1,6,10,60.0,0,0,0.0,0,1,1,1,0,1,0,4,12, TOR @ HOU,201980
2019-01-23,"Jan 23, 2019 - TOR @ IND",L,27,10,3,9,33.3,2,8,25.0,2,2,100.0,0,5,5,3,0,0,0,0,-5, TOR @ IND,201980
2019-01-22,"Jan 22, 2019 - TOR vs. SAC",W,23,6,2,8,25.0,2,6,33.3,0,0,0.0,1,1,2,1,1,1,0,2,-6, TOR vs. SAC,201980
2019-01-19,"Jan 19, 2019 - TOR vs. MEM",W,23,24,8,12,66.7,8,12,66.7,0,0,0.0,0,6,6,3,2,1,0,1,22, TOR vs. MEM,201980
2019-01-17,"Jan 17, 2019 - TOR vs. PHX",W,26,9,3,6,50.0,1,3,33.3,2,3,66.7,0,1,1,1,1,0,0,2,3, TOR vs. PHX,201980
2019-01-16,"Jan 16, 2019 - TOR @ BOS",L,31,15,6,15,40.0,3,8,37.5,0,0,0.0,2,4,6,1,0,1,2,2,-7, TOR @ BOS,201980
2019-01-13,"Jan 13, 2019 - TOR @ WAS",W,42,16,5,12,41.7,3,8,37.5,3,4,75.0,0,9,9,0,2,2,1,2,3, TOR @ WAS,201980
2019-01-11,"Jan 11, 2019 - TOR vs. BKN",W,25,8,2,4,50.0,2,3,66.7,2,2,100.0,0,2,2,4,3,2,0,2,13, TOR vs. BKN,201980
2019-01-06,"Jan 06, 2019 - TOR vs. IND",W,19,15,5,9,55.6,5,8,62.5,0,0,0.0,0,0,0,1,1,0,1,3,6, TOR vs. IND,201980
2019-01-05,"Jan 05, 2019 - TOR @ MIL",W,40,12,5,7,71.4,2,3,66.7,0,0,0.0,2,6,8,0,1,1,2,2,17, TOR @ MIL,201980
2019-01-03,"Jan 03, 2019 - TOR @ SAS",L,26,0,0,7,0.0,0,6,0.0,0,0,0.0,0,4,4,1,0,1,0,3,-26, TOR @ SAS,201980
2019-01-01,"Jan 01, 2019 - TOR vs. UTA",W,31,2,1,4,25.0,0,2,0.0,0,0,0.0,2,2,4,1,0,1,1,4,16, TOR vs. UTA,201980
2018-12-30,"Dec 30, 2018 - TOR vs. CHI",W,29,10,4,8,50.0,2,5,40.0,0,0,0.0,1,3,4,0,2,2,0,1,5, TOR vs. CHI,201980
2018-12-28,"Dec 28, 2018 - TOR @ ORL",L,18,2,1,6,16.7,0,1,0.0,0,0,0.0,2,2,4,2,0,1,2,4,-9, TOR @ ORL,201980
2018-12-26,"Dec 26, 2018 - TOR @ MIA",W,34,18,7,10,70.0,4,7,57.1,0,0,0.0,1,5,6,2,1,0,4,2,5, TOR @ MIA,201980
2018-12-22,"Dec 22, 2018 - TOR @ PHI",L,25,9,3,12,25.0,1,5,20.0,2,2,100.0,0,3,3,0,0,0,3,3,-7, TOR @ PHI,201980
2018-12-19,"Dec 19, 2018 - TOR vs. IND",W,28,7,2,8,25.0,1,6,16.7,2,2,100.0,1,1,2,1,2,1,1,3,6, TOR vs. IND,201980
2018-12-16,"Dec 16, 2018 - TOR @ DEN",L,38,7,3,9,33.3,1,4,25.0,0,0,0.0,2,3,5,0,1,0,0,1,-2, TOR @ DEN,201980
2018-12-14,"Dec 14, 2018 - TOR @ POR",L,36,19,6,10,60.0,5,7,71.4,2,2,100.0,2,10,12,0,0,2,1,4,2, TOR @ POR,201980
2018-04-11,"Apr 11, 2018 - SAS @ NOP",L,20,8,3,5,60.0,2,4,50.0,0,0,0.0,0,4,4,2,2,0,3,2,-8, SAS @ NOP,201980
2018-04-09,"Apr 09, 2018 - SAS vs. SAC",W,16,4,1,6,16.7,0,3,0.0,2,3,66.7,0,0,0,0,0,0,0,0,-12, SAS vs. SAC,201980
2018-04-07,"Apr 07, 2018 - SAS vs. POR",W,13,4,2,5,40.0,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,0,1, SAS vs. POR,201980
