date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-26,"Dec 26, 2019 - POR @ UTA",L,37,34,10,21,47.6,7,13,53.8,7,8,87.5,1,3,4,8,0,0,1,4,-26, POR @ UTA,203081
2019-12-23,"Dec 23, 2019 - POR vs. NOP",L,37,18,6,21,28.6,0,10,0.0,6,6,100.0,0,3,3,7,2,0,3,1,-14, POR vs. NOP,203081
2019-12-21,"Dec 21, 2019 - POR vs. MIN",W,38,29,10,25,40.0,3,12,25.0,6,9,66.7,0,3,3,7,1,1,3,0,5, POR vs. MIN,203081
2019-12-20,"Dec 20, 2019 - POR vs. ORL",W,36,36,13,21,61.9,7,13,53.8,3,3,100.0,0,3,3,6,1,0,5,1,28, POR vs. ORL,203081
2019-12-18,"Dec 18, 2019 - POR vs. GSW",W,37,31,9,20,45.0,2,8,25.0,11,13,84.6,1,4,5,13,1,1,3,1,11, POR vs. GSW,203081
2019-12-16,"Dec 16, 2019 - POR @ PHX",W,37,27,9,21,42.9,3,8,37.5,6,7,85.7,0,1,1,5,0,0,4,4,10, POR @ PHX,203081
2019-12-12,"Dec 12, 2019 - POR @ DEN",L,38,13,5,16,31.3,2,9,22.2,1,2,50.0,1,1,2,11,1,0,2,0,-11, POR @ DEN,203081
2019-12-10,"Dec 10, 2019 - POR vs. NYK",W,29,31,9,15,60.0,8,12,66.7,5,5,100.0,0,2,2,6,0,0,3,2,28, POR vs. NYK,203081
2019-12-08,"Dec 08, 2019 - POR vs. OKC",L,39,26,8,24,33.3,2,12,16.7,8,8,100.0,0,3,3,7,1,0,3,3,-9, POR vs. OKC,203081
2019-12-06,"Dec 06, 2019 - POR vs. LAL",L,41,29,9,18,50.0,2,8,25.0,9,11,81.8,0,7,7,8,0,0,4,0,-10, POR vs. LAL,203081
2019-12-04,"Dec 04, 2019 - POR vs. SAC",W,37,24,7,12,58.3,4,6,66.7,6,7,85.7,0,4,4,10,2,1,4,2,14, POR vs. SAC,203081
2019-12-03,"Dec 03, 2019 - POR @ LAC",L,30,16,5,15,33.3,2,9,22.2,4,5,80.0,0,2,2,7,1,0,2,2,-13, POR @ LAC,203081
2019-11-29,"Nov 29, 2019 - POR vs. CHI",W,37,28,9,18,50.0,3,11,27.3,7,9,77.8,0,2,2,6,0,0,4,1,-4, POR vs. CHI,203081
2019-11-27,"Nov 27, 2019 - POR vs. OKC",W,30,27,7,15,46.7,5,9,55.6,8,8,100.0,1,4,5,5,1,0,1,3,28, POR vs. OKC,203081
2019-11-25,"Nov 25, 2019 - POR @ CHI",W,27,13,4,10,40.0,1,4,25.0,4,4,100.0,0,2,2,12,2,0,1,0,12, POR @ CHI,203081
2019-11-23,"Nov 23, 2019 - POR @ CLE",L,37,23,7,20,35.0,4,9,44.4,5,6,83.3,3,5,8,8,0,1,4,2,-5, POR @ CLE,203081
2019-11-18,"Nov 18, 2019 - POR @ HOU",L,35,13,4,15,26.7,1,6,16.7,4,4,100.0,0,6,6,11,0,0,4,4,-19, POR @ HOU,203081
2019-11-16,"Nov 16, 2019 - POR @ SAS",W,40,22,4,19,21.1,1,9,11.1,13,13,100.0,2,4,6,6,1,0,2,3,18, POR @ SAS,203081
2019-11-13,"Nov 13, 2019 - POR vs. TOR",L,37,9,2,12,16.7,2,7,28.6,3,3,100.0,0,1,1,10,0,2,2,3,-13, POR vs. TOR,203081
2019-11-12,"Nov 12, 2019 - POR @ SAC",L,38,27,6,10,60.0,2,5,40.0,13,14,92.9,0,4,4,5,2,1,5,1,-11, POR @ SAC,203081
2019-11-10,"Nov 10, 2019 - POR vs. ATL",W,44,30,8,17,47.1,3,9,33.3,11,12,91.7,1,6,7,6,1,1,4,2,7, POR vs. ATL,203081
2019-11-08,"Nov 08, 2019 - POR vs. BKN",L,40,60,19,33,57.6,7,16,43.8,15,15,100.0,0,4,4,5,0,0,2,1,4, POR vs. BKN,203081
2019-11-07,"Nov 07, 2019 - POR @ LAC",L,38,22,9,23,39.1,3,10,30.0,1,2,50.0,1,5,6,6,3,0,3,2,-3, POR @ LAC,203081
2019-11-04,"Nov 04, 2019 - POR @ GSW",L,37,39,15,26,57.7,5,13,38.5,4,4,100.0,1,1,2,4,0,1,1,0,-10, POR @ GSW,203081
2019-11-02,"Nov 02, 2019 - POR vs. PHI",L,39,33,11,16,68.8,8,11,72.7,3,3,100.0,0,5,5,9,2,0,7,1,7, POR vs. PHI,203081
2019-10-30,"Oct 30, 2019 - POR @ OKC",W,38,23,7,19,36.8,4,9,44.4,5,6,83.3,1,6,7,13,2,0,1,2,9, POR @ OKC,203081
2019-10-28,"Oct 28, 2019 - POR @ SAS",L,39,28,9,28,32.1,3,10,30.0,7,8,87.5,0,9,9,7,0,2,1,3,4, POR @ SAS,203081
2019-10-27,"Oct 27, 2019 - POR @ DAL",W,38,28,10,20,50.0,1,7,14.3,7,9,77.8,0,3,3,5,1,1,2,3,-1, POR @ DAL,203081
2019-10-25,"Oct 25, 2019 - POR @ SAC",W,34,35,12,20,60.0,3,7,42.9,8,8,100.0,0,5,5,5,3,0,3,4,23, POR @ SAC,203081
2019-10-23,"Oct 23, 2019 - POR vs. DEN",L,38,32,10,21,47.6,3,10,30.0,9,10,90.0,1,3,4,8,1,0,3,3,0, POR vs. DEN,203081
2019-04-09,"Apr 09, 2019 - POR @ LAL",W,36,20,6,16,37.5,3,10,30.0,5,5,100.0,1,3,4,8,3,1,3,0,3, POR @ LAL,203081
2019-04-07,"Apr 07, 2019 - POR vs. DEN",W,38,30,9,19,47.4,5,11,45.5,7,7,100.0,1,5,6,5,0,0,1,1,11, POR vs. DEN,203081
2019-04-05,"Apr 05, 2019 - POR @ DEN",L,39,14,3,14,21.4,0,6,0.0,8,9,88.9,0,4,4,8,0,0,2,3,5, POR @ DEN,203081
2019-04-03,"Apr 03, 2019 - POR vs. MEM",W,29,20,8,18,44.4,2,7,28.6,2,2,100.0,0,7,7,10,1,0,3,0,25, POR vs. MEM,203081
2019-04-01,"Apr 01, 2019 - POR @ MIN",W,34,15,6,17,35.3,3,6,50.0,0,1,0.0,0,5,5,12,0,0,5,2,3, POR @ MIN,203081
2019-03-30,"Mar 30, 2019 - POR @ DET",L,36,23,8,25,32.0,3,8,37.5,4,4,100.0,1,7,8,3,1,1,3,2,-12, POR @ DET,203081
2019-03-29,"Mar 29, 2019 - POR @ ATL",W,32,36,13,25,52.0,4,10,40.0,6,6,100.0,0,3,3,7,0,1,2,1,18, POR @ ATL,203081
2019-03-27,"Mar 27, 2019 - POR @ CHI",W,28,11,3,12,25.0,1,6,16.7,4,4,100.0,1,5,6,7,0,0,1,1,20, POR @ CHI,203081
2019-03-25,"Mar 25, 2019 - POR vs. BKN",W,48,31,10,30,33.3,4,16,25.0,7,8,87.5,3,3,6,12,1,0,0,3,13, POR vs. BKN,203081
2019-03-23,"Mar 23, 2019 - POR vs. DET",W,37,28,9,16,56.3,6,10,60.0,4,5,80.0,2,4,6,9,0,0,4,1,3, POR vs. DET,203081
2019-03-20,"Mar 20, 2019 - POR vs. DAL",W,30,33,9,18,50.0,6,12,50.0,9,10,90.0,2,3,5,12,2,0,1,1,24, POR vs. DAL,203081
2019-03-18,"Mar 18, 2019 - POR vs. IND",W,40,30,9,16,56.3,4,9,44.4,8,9,88.9,0,2,2,15,3,1,6,3,17, POR vs. IND,203081
2019-03-16,"Mar 16, 2019 - POR @ SAS",L,38,34,13,29,44.8,3,10,30.0,5,5,100.0,0,6,6,5,1,0,1,3,3, POR @ SAS,203081
