date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-17,"Dec 17, 2019 - LAC vs. PHX",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,0,2,2, LAC vs. PHX,1628405
2019-12-11,"Dec 11, 2019 - LAC @ TOR",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,-1, LAC @ TOR,1628405
2019-10-26,"Oct 26, 2019 - LAC @ PHX",L,0,0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0, LAC @ PHX,1628405
2019-10-24,"Oct 24, 2019 - LAC @ GSW",W,4,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,2,1,-3, LAC @ GSW,1628405
2019-04-07,"Apr 07, 2019 - LAC @ GSW",L,12,9,4,6,66.7,0,0,0.0,1,2,50.0,2,4,6,1,1,0,1,2,4, LAC @ GSW,1628405
2019-04-03,"Apr 03, 2019 - LAC vs. HOU",L,3,4,2,2,100.0,0,0,0.0,0,2,0.0,1,2,3,0,0,0,0,1,-3, LAC vs. HOU,1628405
2019-03-30,"Mar 30, 2019 - LAC vs. CLE",W,4,5,2,2,100.0,0,0,0.0,1,2,50.0,0,1,1,1,0,1,0,0,3, LAC vs. CLE,1628405
2019-03-28,"Mar 28, 2019 - LAC @ MIL",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4, LAC @ MIL,1628405
2019-03-26,"Mar 26, 2019 - LAC @ MIN",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-3, LAC @ MIN,1628405
2019-03-03,"Mar 03, 2019 - LAC vs. NYK",W,3,3,1,2,50.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,1,1,0, LAC vs. NYK,1628405
2019-02-24,"Feb 24, 2019 - LAC @ DEN",L,8,5,1,2,50.0,0,0,0.0,3,4,75.0,0,3,3,1,0,0,0,3,-8, LAC @ DEN,1628405
2019-02-13,"Feb 13, 2019 - LAC vs. PHX",W,4,4,2,2,100.0,0,0,0.0,0,0,0.0,1,0,1,2,1,0,1,0,1, LAC vs. PHX,1628405
2019-02-07,"Feb 07, 2019 - LAC @ IND",L,29,10,4,10,40.0,0,1,0.0,2,3,66.7,1,6,7,0,0,0,2,4,-16, LAC @ IND,1628405
2019-02-03,"Feb 03, 2019 - LAC @ TOR",L,6,4,1,3,33.3,0,0,0.0,2,3,66.7,0,2,2,0,1,1,0,1,3, LAC @ TOR,1628405
2019-02-02,"Feb 02, 2019 - LAC @ DET",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,-3, LAC @ DET,1628405
2019-01-27,"Jan 27, 2019 - LAC vs. SAC",W,6,6,2,3,66.7,0,0,0.0,2,3,66.7,1,1,2,0,0,0,1,3,-4, LAC vs. SAC,1628405
2019-01-25,"Jan 25, 2019 - LAC @ CHI",W,10,4,2,6,33.3,0,0,0.0,0,2,0.0,3,4,7,1,0,0,0,2,-3, LAC @ CHI,1628405
2019-01-23,"Jan 23, 2019 - LAC @ MIA",W,9,7,3,6,50.0,0,0,0.0,1,2,50.0,2,2,4,1,0,0,1,1,5, LAC @ MIA,1628405
2019-01-22,"Jan 22, 2019 - LAC @ DAL",L,15,7,2,5,40.0,0,0,0.0,3,4,75.0,2,1,3,0,1,0,1,1,-3, LAC @ DAL,1628405
2019-01-20,"Jan 20, 2019 - LAC @ SAS",W,18,10,4,6,66.7,0,0,0.0,2,5,40.0,0,4,4,0,1,0,4,2,3, LAC @ SAS,1628405
2019-01-18,"Jan 18, 2019 - LAC vs. GSW",L,8,7,3,6,50.0,0,0,0.0,1,1,100.0,1,0,1,1,0,1,0,2,0, LAC vs. GSW,1628405
2019-01-16,"Jan 16, 2019 - LAC vs. UTA",L,4,5,2,4,50.0,0,0,0.0,1,1,100.0,1,0,1,2,0,0,0,0,-2, LAC vs. UTA,1628405
2019-01-10,"Jan 10, 2019 - LAC @ DEN",L,4,6,1,4,25.0,0,2,0.0,4,5,80.0,2,1,3,0,0,0,1,0,1, LAC @ DEN,1628405
2019-01-08,"Jan 08, 2019 - LAC vs. CHA",W,4,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4, LAC vs. CHA,1628405
2019-01-06,"Jan 06, 2019 - LAC vs. ORL",W,2,4,2,2,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-5, LAC vs. ORL,1628405
