date,Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,teams,player_id
2019-12-26,"Dec 26, 2019 - POR @ UTA",L,22,8,3,5,60.0,0,0,0.0,2,3,66.7,2,4,6,1,0,1,1,3,-28, POR @ UTA,202355
2019-12-23,"Dec 23, 2019 - POR vs. NOP",L,32,11,5,10,50.0,0,0,0.0,1,2,50.0,4,12,16,2,1,4,3,2,-20, POR vs. NOP,202355
2019-12-21,"Dec 21, 2019 - POR vs. MIN",W,38,16,6,9,66.7,0,0,0.0,4,4,100.0,4,18,22,2,1,7,2,3,5, POR vs. MIN,202355
2019-12-20,"Dec 20, 2019 - POR vs. ORL",W,33,10,3,9,33.3,0,1,0.0,4,6,66.7,3,14,17,1,0,5,5,5,22, POR vs. ORL,202355
2019-12-18,"Dec 18, 2019 - POR vs. GSW",W,33,16,8,14,57.1,0,0,0.0,0,0,0.0,7,16,23,0,0,2,0,1,2, POR vs. GSW,202355
2019-12-16,"Dec 16, 2019 - POR @ PHX",W,31,10,5,7,71.4,0,0,0.0,0,0,0.0,2,12,14,0,1,3,4,4,-6, POR @ PHX,202355
2019-12-12,"Dec 12, 2019 - POR @ DEN",L,35,33,15,21,71.4,1,1,100.0,2,2,100.0,3,8,11,2,0,4,0,5,-3, POR @ DEN,202355
2019-12-10,"Dec 10, 2019 - POR vs. NYK",W,26,17,7,11,63.6,0,0,0.0,3,3,100.0,4,11,15,2,0,5,1,1,28, POR vs. NYK,202355
2019-12-08,"Dec 08, 2019 - POR vs. OKC",L,32,14,6,8,75.0,0,0,0.0,2,2,100.0,5,5,10,3,0,5,1,2,-7, POR vs. OKC,202355
2019-12-06,"Dec 06, 2019 - POR vs. LAL",L,32,17,8,12,66.7,0,0,0.0,1,2,50.0,3,7,10,2,3,1,1,3,-26, POR vs. LAL,202355
2019-12-04,"Dec 04, 2019 - POR vs. SAC",W,34,22,8,10,80.0,0,0,0.0,6,8,75.0,1,15,16,7,0,3,2,3,7, POR vs. SAC,202355
2019-12-03,"Dec 03, 2019 - POR @ LAC",L,26,18,8,12,66.7,0,0,0.0,2,3,66.7,6,7,13,0,0,1,4,4,-11, POR @ LAC,202355
2019-11-29,"Nov 29, 2019 - POR vs. CHI",W,30,8,4,11,36.4,0,0,0.0,0,3,0.0,4,11,15,1,1,10,2,5,-1, POR vs. CHI,202355
2019-11-27,"Nov 27, 2019 - POR vs. OKC",W,22,21,8,13,61.5,0,0,0.0,5,5,100.0,2,14,16,1,0,0,1,2,23, POR vs. OKC,202355
2019-11-25,"Nov 25, 2019 - POR @ CHI",W,23,13,6,8,75.0,0,0,0.0,1,2,50.0,3,9,12,1,1,2,2,3,15, POR @ CHI,202355
2019-11-19,"Nov 19, 2019 - POR @ NOP",L,29,14,5,7,71.4,0,0,0.0,4,4,100.0,4,10,14,0,0,1,4,3,-3, POR @ NOP,202355
2019-11-18,"Nov 18, 2019 - POR @ HOU",L,27,11,5,9,55.6,0,0,0.0,1,1,100.0,2,6,8,2,1,2,3,1,-18, POR @ HOU,202355
2019-11-16,"Nov 16, 2019 - POR @ SAS",W,35,21,8,12,66.7,0,0,0.0,5,5,100.0,2,10,12,0,0,3,1,3,9, POR @ SAS,202355
2019-11-13,"Nov 13, 2019 - POR vs. TOR",L,30,12,6,12,50.0,0,0,0.0,0,0,0.0,5,4,9,3,0,1,1,1,-6, POR vs. TOR,202355
2019-11-12,"Nov 12, 2019 - POR @ SAC",L,21,17,7,9,77.8,0,0,0.0,3,4,75.0,3,4,7,1,0,0,1,4,4, POR @ SAC,202355
2019-11-10,"Nov 10, 2019 - POR vs. ATL",W,35,21,7,13,53.8,0,0,0.0,7,9,77.8,4,8,12,1,0,3,2,3,9, POR vs. ATL,202355
2019-11-08,"Nov 08, 2019 - POR vs. BKN",L,34,10,4,10,40.0,0,0,0.0,2,2,100.0,4,11,15,1,0,5,0,2,-1, POR vs. BKN,202355
2019-11-07,"Nov 07, 2019 - POR @ LAC",L,27,17,7,18,38.9,0,0,0.0,3,4,75.0,9,10,19,1,1,2,3,2,1, POR @ LAC,202355
2019-11-04,"Nov 04, 2019 - POR @ GSW",L,28,22,10,14,71.4,0,0,0.0,2,5,40.0,5,6,11,0,0,2,1,2,-15, POR @ GSW,202355
2019-10-30,"Oct 30, 2019 - POR @ OKC",W,25,12,4,9,44.4,0,0,0.0,4,6,66.7,5,7,12,0,2,2,2,4,-3, POR @ OKC,202355
2019-10-28,"Oct 28, 2019 - POR @ SAS",L,24,8,4,9,44.4,0,0,0.0,0,0,0.0,1,6,7,1,0,0,2,3,1, POR @ SAS,202355
2019-10-27,"Oct 27, 2019 - POR @ DAL",W,26,6,2,4,50.0,0,0,0.0,2,2,100.0,2,12,14,0,0,1,3,6,-4, POR @ DAL,202355
2019-10-25,"Oct 25, 2019 - POR @ SAC",W,26,22,9,10,90.0,0,0,0.0,4,6,66.7,2,7,9,3,1,1,2,2,23, POR @ SAC,202355
2019-10-23,"Oct 23, 2019 - POR vs. DEN",L,26,16,6,7,85.7,0,0,0.0,4,4,100.0,5,14,19,0,0,2,4,4,0, POR vs. DEN,202355
2019-04-09,"Apr 09, 2019 - MIA vs. PHI",W,14,15,7,8,87.5,0,0,0.0,1,2,50.0,1,8,9,0,2,4,1,1,21, MIA vs. PHI,202355
2019-04-07,"Apr 07, 2019 - MIA @ TOR",L,22,14,7,9,77.8,0,0,0.0,0,0,0.0,2,7,9,0,0,1,0,4,5, MIA @ TOR,202355
2019-04-05,"Apr 05, 2019 - MIA @ MIN",L,16,8,4,5,80.0,0,0,0.0,0,0,0.0,2,5,7,0,0,2,2,1,5, MIA @ MIN,202355
2019-04-03,"Apr 03, 2019 - MIA vs. BOS",L,21,18,9,11,81.8,0,0,0.0,0,4,0.0,5,10,15,0,0,1,3,5,-2, MIA vs. BOS,202355
2019-04-01,"Apr 01, 2019 - MIA @ BOS",L,17,3,1,4,25.0,0,0,0.0,1,2,50.0,2,8,10,2,0,2,0,2,-3, MIA @ BOS,202355
2019-03-30,"Mar 30, 2019 - MIA @ NYK",W,20,17,7,10,70.0,0,0,0.0,3,6,50.0,3,10,13,0,1,1,0,1,7, MIA @ NYK,202355
2019-03-28,"Mar 28, 2019 - MIA vs. DAL",W,19,12,5,6,83.3,0,0,0.0,2,4,50.0,3,6,9,1,0,0,0,0,-3, MIA vs. DAL,202355
2019-03-26,"Mar 26, 2019 - MIA vs. ORL",L,15,10,5,6,83.3,0,0,0.0,0,0,0.0,0,2,2,0,2,0,3,3,-5, MIA vs. ORL,202355
2019-03-23,"Mar 23, 2019 - MIA @ WAS",W,5,2,1,2,50.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,2,-8, MIA @ WAS,202355
2019-03-22,"Mar 22, 2019 - MIA @ MIL",L,24,14,6,8,75.0,0,0,0.0,2,6,33.3,4,5,9,0,0,3,1,3,-23, MIA @ MIL,202355
2019-03-20,"Mar 20, 2019 - MIA @ SAS",W,19,12,3,6,50.0,0,0,0.0,6,6,100.0,1,6,7,2,0,1,0,3,-10, MIA @ SAS,202355
2019-03-18,"Mar 18, 2019 - MIA @ OKC",W,5,2,1,3,33.3,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,2,8, MIA @ OKC,202355
2019-03-17,"Mar 17, 2019 - MIA vs. CHA",W,17,6,3,7,42.9,0,0,0.0,0,0,0.0,5,3,8,0,1,1,0,3,0, MIA vs. CHA,202355
2019-03-15,"Mar 15, 2019 - MIA vs. MIL",L,19,14,5,9,55.6,0,0,0.0,4,7,57.1,4,7,11,0,0,3,0,2,-5, MIA vs. MIL,202355
2019-03-13,"Mar 13, 2019 - MIA vs. DET",W,20,13,6,12,50.0,0,0,0.0,1,1,100.0,6,5,11,1,0,1,1,3,5, MIA vs. DET,202355
2019-03-10,"Mar 10, 2019 - MIA vs. TOR",L,18,8,4,9,44.4,0,0,0.0,0,1,0.0,4,3,7,2,0,0,0,2,-2, MIA vs. TOR,202355
2019-03-08,"Mar 08, 2019 - MIA vs. CLE",W,23,11,5,9,55.6,0,0,0.0,1,2,50.0,3,8,11,0,0,0,2,3,7, MIA vs. CLE,202355
2019-03-06,"Mar 06, 2019 - MIA @ CHA",W,20,18,8,14,57.1,0,0,0.0,2,3,66.7,9,6,15,0,0,4,0,4,7, MIA @ CHA,202355
2019-03-04,"Mar 04, 2019 - MIA vs. ATL",W,15,4,2,3,66.7,0,0,0.0,0,0,0.0,1,6,7,2,0,1,3,2,16, MIA vs. ATL,202355
2019-02-25,"Feb 25, 2019 - MIA vs. PHX",L,27,29,14,19,73.7,0,0,0.0,1,2,50.0,6,5,11,1,2,0,1,5,0, MIA vs. PHX,202355
2019-02-23,"Feb 23, 2019 - MIA vs. DET",L,31,13,6,10,60.0,0,1,0.0,1,2,50.0,4,11,15,0,2,3,0,2,-14, MIA vs. DET,202355
2019-02-21,"Feb 21, 2019 - MIA @ PHI",L,21,4,2,6,33.3,0,0,0.0,0,2,0.0,2,3,5,2,1,2,0,3,-11, MIA @ PHI,202355
2019-02-13,"Feb 13, 2019 - MIA @ DAL",W,22,6,3,6,50.0,0,0,0.0,0,0,0.0,1,7,8,0,1,0,1,0,4, MIA @ DAL,202355
2019-02-11,"Feb 11, 2019 - MIA @ DEN",L,20,6,3,7,42.9,0,0,0.0,0,2,0.0,2,6,8,0,1,0,0,1,-10, MIA @ DEN,202355
2019-02-10,"Feb 10, 2019 - MIA @ GSW",L,22,13,6,13,46.2,0,0,0.0,1,2,50.0,9,5,14,3,0,0,0,3,7, MIA @ GSW,202355
2019-02-08,"Feb 08, 2019 - MIA @ SAC",L,28,17,7,14,50.0,0,0,0.0,3,4,75.0,2,17,19,1,3,2,0,4,2, MIA @ SAC,202355
2019-02-05,"Feb 05, 2019 - MIA @ POR",W,30,28,11,12,91.7,0,0,0.0,6,7,85.7,3,8,11,0,4,2,1,2,16, MIA @ POR,202355
2019-02-02,"Feb 02, 2019 - MIA vs. IND",L,31,19,9,13,69.2,0,0,0.0,1,5,20.0,4,9,13,0,1,1,4,3,-18, MIA vs. IND,202355
2019-02-01,"Feb 01, 2019 - MIA vs. OKC",L,20,12,6,10,60.0,0,0,0.0,0,3,0.0,5,11,16,1,1,1,5,3,-17, MIA vs. OKC,202355
2019-01-30,"Jan 30, 2019 - MIA vs. CHI",L,15,8,3,6,50.0,0,0,0.0,2,4,50.0,5,4,9,0,0,1,0,4,-12, MIA vs. CHI,202355
2019-01-27,"Jan 27, 2019 - MIA @ NYK",W,24,13,6,10,60.0,0,0,0.0,1,2,50.0,3,14,17,2,0,3,1,4,25, MIA @ NYK,202355
2019-01-25,"Jan 25, 2019 - MIA @ CLE",W,22,14,6,10,60.0,0,0,0.0,2,2,100.0,4,9,13,1,1,1,1,2,19, MIA @ CLE,202355
