,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,nba_id,player_csv
28,42127-16178,SF,Maurice,Maurice Harkless,Harkless,16.093938654119317,33,3800,UTA@LAC,LAC,UTA,,,,,,203090,data/players/player_id_1628405.csv
29,42127-23981,PG,Alex,Alex Caruso,Caruso,13.61034524851832,29,3700,LAL@POR,LAL,POR,,,,,,1627936,data/players/player_id_1628405.csv
30,42127-84724,PG,Landry,Landry Shamet,Shamet,14.612500190734865,16,3700,UTA@LAC,LAC,UTA,,,,,,1629013,data/players/player_id_1628405.csv
31,42127-15744,SG,Rodney,Rodney McGruder,McGruder,9.895238240559896,21,3600,UTA@LAC,LAC,UTA,,,,,,203585,data/players/player_id_1628405.csv
32,42127-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,3.0,2,3500,LAL@POR,LAL,POR,,,,,,1629659,data/players/player_id_1628405.csv
33,42127-111492,PF,Amir,Amir Coffey,Coffey,0.0,0,3500,UTA@LAC,LAC,UTA,,,,,,1629599,data/players/player_id_1628405.csv
34,42127-111620,PG,Nigel,Nigel Williams-Goss,Williams-Goss,1.3428570883614677,7,3500,UTA@LAC,UTA,LAC,,,,,,1628430,data/players/player_id_1628405.csv
35,42127-110343,SF,Nassir,Nassir Little,Little,10.447618756975446,21,3500,LAL@POR,POR,LAL,,,,,,1629642,data/players/player_id_1628405.csv
36,42127-110355,SF,Mfiondu,Mfiondu Kabengele,Kabengele,4.509999847412108,10,3500,UTA@LAC,LAC,UTA,,,,,,1629662,data/players/player_id_1628405.csv
37,42127-63123,SF,Mario,Mario Hezonja,Hezonja,11.664000244140626,25,3500,LAL@POR,POR,LAL,GTD,Back,,,,1626209,data/players/player_id_1628405.csv
38,42127-15904,SF,Rodney,Rodney Hood,Hood,19.447618756975448,21,3500,LAL@POR,POR,LAL,O,Achilles,,,,203918,data/players/player_id_1628405.csv
39,42127-117286,C,Moses,Moses Brown,Brown,5.199999809265137,4,3500,LAL@POR,POR,LAL,,,,,,1629650,data/players/player_id_1628405.csv
40,42127-117289,PF,Juwan,Juwan Morgan,Morgan,0.4666666587193807,3,3500,UTA@LAC,UTA,LAC,,,,,,1629752,data/players/player_id_1628405.csv
41,42127-15405,PF,JaMychal,JaMychal Green,Green,17.616666158040363,24,3500,UTA@LAC,LAC,UTA,,,,,,203210,data/players/player_id_1628405.csv
42,42127-12334,SG,Avery,Avery Bradley,Bradley,14.570588055778954,17,3500,LAL@POR,LAL,POR,,,,,,202340,data/players/player_id_1628405.csv
43,42127-80815,PF,Zach,Zach Collins,Collins,16.8000005086263,3,3500,LAL@POR,POR,LAL,O,Shoulder,,,,1628380,data/players/player_id_1628405.csv
44,42127-12340,PF,Patrick,Patrick Patterson,Patterson,10.973333740234377,30,3500,UTA@LAC,LAC,UTA,,,,,,202335,data/players/player_id_1628405.csv
46,42127-80823,C,Tony,Tony Bradley,Bradley,9.225,20,3500,UTA@LAC,UTA,LAC,,,,,,1628396,data/players/player_id_1628405.csv
47,42127-9920,PF,Anthony,Anthony Tolliver,Tolliver,8.913636641068893,22,3500,LAL@POR,POR,LAL,,,,,,201229,data/players/player_id_1628405.csv
48,42127-84677,PG,Jerome,Jerome Robinson,Robinson,7.907999877929687,25,3500,UTA@LAC,LAC,UTA,,,,,,1629010,data/players/player_id_1628405.csv
49,42127-20805,SG,Troy,Troy Daniels,Daniels,7.33043504797894,23,3500,LAL@POR,LAL,POR,,,,,,203584,data/players/player_id_1628405.csv
50,42127-12362,C,DeMarcus,DeMarcus Cousins,Cousins,37.49666748046875,30,3500,LAL@POR,LAL,POR,O,Knee,,,,202326,data/players/player_id_1628405.csv
51,42127-9677,SF,Jared,Jared Dudley,Dudley,4.79047611781529,21,3500,LAL@POR,LAL,POR,,,,,,201162,data/players/player_id_1628405.csv
52,42127-12365,PF,Ed,Ed Davis,Davis,9.168420892012747,19,3500,UTA@LAC,UTA,LAC,,,,,,202334,data/players/player_id_1628405.csv
54,42127-84695,SG,Gary,Gary Trent,Trent,6.752631739566199,19,3500,LAL@POR,POR,LAL,,,,,,1629018,data/players/player_id_1628405.csv
55,42127-115802,SF,Jaylen,Jaylen Hoard,Hoard,4.279999923706055,5,3500,LAL@POR,POR,LAL,,,,,,1629658,data/players/player_id_1628405.csv
56,42127-15582,PG,Quinn,Quinn Cook,Cook,8.595238095238095,21,3500,LAL@POR,LAL,POR,,,,,,1626188,data/players/player_id_1628405.csv
57,42127-110308,SF,Jarrell,Jarrell Brantley,Brantley,5.6500000953674325,2,3500,UTA@LAC,UTA,LAC,,,,,,1629714,data/players/player_id_1628405.csv
58,42127-110315,SG,Terance,Terance Mann,Mann,6.3181818181818175,22,3500,UTA@LAC,LAC,UTA,,,,,,1629611,data/players/player_id_1628405.csv
59,42127-84717,PG,Anfernee,Anfernee Simons,Simons,15.137499809265135,32,3500,LAL@POR,POR,LAL,,,,,,1629014,data/players/player_id_1628405.csv
60,42127-40561,PG,Derrick,Derrick Walton,Walton,5.366666666666666,15,3500,UTA@LAC,LAC,UTA,,,,,,1628476,data/players/player_id_1628405.csv
61,42127-23156,PF,Georges,Georges Niang,Niang,7.464000244140625,25,3500,UTA@LAC,UTA,LAC,,,,,,1627777,data/players/player_id_1628405.csv
62,42127-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,0.6000000238418579,2,3500,LAL@POR,LAL,POR,,,,,,1628961,data/players/player_id_1628405.csv
63,42127-110324,SG,Miye,Miye Oni,Oni,0.06666666766007741,3,3500,UTA@LAC,UTA,LAC,,,,,,1629671,data/players/player_id_1628405.csv
64,42127-110327,PG,Justin,Justin Wright-Foreman,Wright-Foreman,0.0,0,3500,UTA@LAC,UTA,LAC,,,,,,1629625,data/players/player_id_1628405.csv
65,42127-41597,PF,Johnathan,Johnathan Motley,Motley,3.974999904632568,4,3500,UTA@LAC,LAC,UTA,,,,,,1628405,data/players/player_id_1628405.csv
