"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42081-111671","PG","Ky","Ky Bowman","Bowman","17.489286150251115","28","3700","PHO@GS","GS","PHO","","","","",""
"42081-16448","PF","Frank","Frank Kaminsky","Kaminsky","22.413334147135416","30","3700","PHO@GS","PHO","GS","","","","",""
"42081-16220","SF","Dion","Dion Waiters","Waiters","20.402273004705254","44","3700","IND@MIA","MIA","IND","","","","",""
"42081-110323","PF","Eric","Eric Paschall","Paschall","23.610345248518318","29","3700","PHO@GS","GS","PHO","GTD","Hip","","",""
"42081-85137","SG","Duncan","Duncan Robinson","Robinson","19.063334147135418","30","3600","IND@MIA","MIA","IND","","","","",""
"42081-18600","PG","Tyler","Tyler Johnson","Johnson","12.623809814453125","21","3600","PHO@GS","PHO","GS","","","","",""
"42081-15669","C","Meyers","Meyers Leonard","Leonard","14.27000020345052","30","3600","IND@MIA","MIA","IND","","","","",""
"42081-18256","SF","Doug","Doug McDermott","McDermott","14.90967781313004","31","3600","IND@MIA","IND","MIA","","","","",""
"42081-84696","PG","Jevon","Jevon Carter","Carter","11.859999847412109","20","3600","PHO@GS","PHO","GS","","","","",""
"42081-16604","SF","Justin","Justin Holiday","Holiday","18.68064437373992","31","3600","IND@MIA","IND","MIA","","","","",""
"42081-84705","PF","Omari","Omari Spellman","Spellman","16.032258064516128","31","3600","PHO@GS","GS","PHO","","","","",""
"42081-23155","SG","Naz","Naz Mitrou-Long","Mitrou-Long","11.90000025431315","3","3600","IND@MIA","IND","MIA","GTD","Ankle","","",""
"42081-110331","SG","Ty","Ty Jerome","Jerome","11.94000015258789","10","3600","PHO@GS","PHO","GS","","","","",""
"42081-22541","C","Kelly","Kelly Olynyk","Olynyk","18.50333251953125","30","3500","IND@MIA","MIA","IND","","","","",""
"42081-110359","C","Goga","Goga Bitadze","Bitadze","9.74347852623981","23","3500","IND@MIA","IND","MIA","","","","",""
"42081-117274","PF","Chris","Chris Silva","Silva","10.41199951171875","25","3500","IND@MIA","MIA","IND","","","","",""
"42081-110365","PF","Alen","Alen Smailagic","Smailagic","0","0","3500","PHO@GS","GS","PHO","","","","",""
"42081-58270","PG","Edmond","Edmond Sumner","Sumner","10.962499618530273","8","3500","IND@MIA","IND","MIA","","","","",""
"42081-66091","PF","Cheick","Cheick Diallo","Diallo","9.8","20","3500","PHO@GS","PHO","GS","","","","",""
"42081-80818","PF","T.J.","T.J. Leaf","Leaf","8.715789794921875","19","3500","IND@MIA","IND","MIA","","","","",""
"42081-9524","PG","Stephen","Stephen Curry","Curry","37.5","4","3500","PHO@GS","GS","PHO","O","Hand","","",""
"42081-16183","SF","JaKarr","JaKarr Sampson","Sampson","11.740000152587891","10","3500","IND@MIA","IND","MIA","","","","",""
"42081-117819","PG","Jared","Jared Harper","Harper","0","1","3500","PHO@GS","PHO","GS","","","","",""
"42081-85309","PG","Daryl","Daryl Macon","Macon","0.625","4","3500","IND@MIA","MIA","IND","","","","",""
"42081-58576","C","Kevon","Kevon Looney","Looney","7.580000305175782","10","3500","PHO@GS","GS","PHO","O","Abdomen","","",""
"42081-84697","SG","Jacob","Jacob Evans","Evans","8.145454406738281","11","3500","PHO@GS","GS","PHO","","","","",""
"42081-110309","SF","KZ","KZ Okpala","Okpala","0.06666666766007741","3","3500","IND@MIA","MIA","IND","","","","",""
"42081-116202","PG","Jalen","Jalen Lecque","Lecque","0","0","3500","PHO@GS","PHO","GS","","","","",""
"42081-110829","SG","Brian","Brian Bowen","Bowen","2.066666603088379","3","3500","IND@MIA","IND","MIA","","","","",""
"42081-9966","PF","James","James Johnson","Johnson","8.366666793823242","6","3500","IND@MIA","MIA","IND","","","","",""
"42081-84718","PF","Alize","Alize Johnson","Johnson","3.2666666242811413","9","3500","IND@MIA","IND","MIA","","","","",""
"42081-110322","SG","Jordan","Jordan Poole","Poole","13.5827584102236","29","3500","PHO@GS","GS","PHO","","","","",""
"42081-9589","PF","Udonis","Udonis Haslem","Haslem","4.300000190734863","2","3500","IND@MIA","MIA","IND","","","","",""
"42081-67707","PF","Marquese","Marquese Chriss","Chriss","19.406450825352824","31","3500","PHO@GS","GS","PHO","","","","",""
