"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42081-80817","PF","Bam","Bam Adebayo","Adebayo","40.876668294270836","30","9000","IND@MIA","MIA","IND","","","","",""
"42081-14528","SG","Jimmy","Jimmy Butler","Butler","43.67692213792067","26","8500","IND@MIA","MIA","IND","","","","",""
"42081-59358","PF","Domantas","Domantas Sabonis","Sabonis","41.282756936961206","29","8300","IND@MIA","IND","MIA","","","","",""
"42081-58312","SG","D'Angelo","D'Angelo Russell","Russell","35.925","20","8200","PHO@GS","GS","PHO","","","","",""
"42081-84673","C","Deandre","Deandre Ayton","Ayton","42.04999923706055","2","8000","PHO@GS","PHO","GS","O","Ankle","","",""
"42081-14496","PG","Ricky","Ricky Rubio","Rubio","35.666666666666664","24","7200","PHO@GS","PHO","GS","","","","",""
"42081-15684","SG","Victor","Victor Oladipo","Oladipo","36.872222900390625","36","7100","IND@MIA","IND","MIA","O","Knee","","",""
"42081-58460","SG","Devin","Devin Booker","Booker","37.34814905237268","27","6900","PHO@GS","PHO","GS","","","","",""
"42081-16359","PG","Malcolm","Malcolm Brogdon","Brogdon","35.71538367638221","26","6600","IND@MIA","IND","MIA","GTD","Groin","","",""
"42081-15860","PF","Draymond","Draymond Green","Green","29.827273282137785","22","6500","PHO@GS","GS","PHO","","","","",""
"42081-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","25.268965096309266","29","6100","PHO@GS","GS","PHO","","","","",""
"42081-58153","SF","Kelly","Kelly Oubre","Oubre","31.85999959309896","30","6100","PHO@GS","PHO","GS","GTD","Groin","","",""
"42081-58253","C","Myles","Myles Turner","Turner","28.117391835088316","23","5900","IND@MIA","IND","MIA","","","","",""
"42081-14510","SF","Alec","Alec Burks","Burks","28.910345669450432","29","5900","PHO@GS","GS","PHO","","","","",""
"42081-18376","SG","Damion","Damion Lee","Lee","21.77222188313802","18","5800","PHO@GS","GS","PHO","","","","",""
"42081-23120","SF","T.J.","T.J. Warren","Warren","26.809676631804436","31","5300","IND@MIA","IND","MIA","","","","",""
"42081-9673","PG","Goran","Goran Dragic","Dragic","27.525","20","5100","IND@MIA","MIA","IND","","","","",""
"42081-15559","SG","Jeremy","Jeremy Lamb","Lamb","27.429998779296874","20","4800","IND@MIA","IND","MIA","","","","",""
"42081-84719","PG","Aaron","Aaron Holiday","Holiday","19.31379226158405","29","4700","IND@MIA","IND","MIA","","","","",""
"42081-58084","SF","Justise","Justise Winslow","Winslow","28.070001220703126","10","4600","IND@MIA","MIA","IND","O","Back","","",""
"42081-23800","SF","Glenn","Glenn Robinson","Robinson","22.509677025579638","31","4600","PHO@GS","GS","PHO","","","","",""
"42081-101329","PG","Kendrick","Kendrick Nunn","Nunn","26.530000813802083","30","4500","IND@MIA","MIA","IND","","","","",""
"42081-55056","PF","Dario","Dario Saric","Saric","25.559999593098958","30","4200","PHO@GS","PHO","GS","","","","",""
"42081-110312","SG","Tyler","Tyler Herro","Herro","22.75172371699892","29","4200","IND@MIA","MIA","IND","","","","",""
"42081-66968","SF","Derrick","Derrick Jones","Jones","17.40625","16","4100","IND@MIA","MIA","IND","","","","",""
"42081-37931","C","Aron","Aron Baynes","Baynes","24.519048781622026","21","4100","PHO@GS","PHO","GS","","","","",""
"42081-84670","SF","Mikal","Mikal Bridges","Bridges","17.706667073567708","30","4000","PHO@GS","PHO","GS","","","","",""
"42081-84686","SG","Elie","Elie Okobo","Okobo","11.099999861283736","22","3800","PHO@GS","PHO","GS","","","","",""
"42081-18393","PG","T.J.","T.J. McConnell","McConnell","18.731034903690734","29","3800","IND@MIA","IND","MIA","","","","",""
"42081-110316","SF","Cameron","Cameron Johnson","Johnson","16.522222448278356","27","3800","PHO@GS","PHO","GS","","","","",""
