"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42127-20805","SG","Troy","Troy Daniels","Daniels","7.33043504797894","23","3500","LAL@POR","LAL","POR","","","","",""
"42127-12362","C","DeMarcus","DeMarcus Cousins","Cousins","37.49666748046875","30","3500","LAL@POR","LAL","POR","O","Knee","","",""
"42127-9677","SF","Jared","Jared Dudley","Dudley","4.79047611781529","21","3500","LAL@POR","LAL","POR","","","","",""
"42127-12365","PF","Ed","Ed Davis","Davis","9.168420892012747","19","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-116178","PG","Rayjon","Rayjon Tucker","Tucker","0","0","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-84695","SG","Gary","Gary Trent","Trent","6.7526317395662","19","3500","LAL@POR","POR","LAL","","","","",""
"42127-115802","SF","Jaylen","Jaylen Hoard","Hoard","4.279999923706055","5","3500","LAL@POR","POR","LAL","","","","",""
"42127-15582","PG","Quinn","Quinn Cook","Cook","8.595238095238095","21","3500","LAL@POR","LAL","POR","","","","",""
"42127-110308","SF","Jarrell","Jarrell Brantley","Brantley","5.650000095367432","2","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-110315","SG","Terance","Terance Mann","Mann","6.318181818181818","22","3500","UTA@LAC","LAC","UTA","","","","",""
"42127-84717","PG","Anfernee","Anfernee Simons","Simons","15.137499809265137","32","3500","LAL@POR","POR","LAL","","","","",""
"42127-40561","PG","Derrick","Derrick Walton","Walton","5.366666666666666","15","3500","UTA@LAC","LAC","UTA","","","","",""
"42127-23156","PF","Georges","Georges Niang","Niang","7.464000244140625","25","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-84725","PF","Kostas","Kostas Antetokounmpo","Antetokounmpo","0.6000000238418579","2","3500","LAL@POR","LAL","POR","","","","",""
"42127-110324","SG","Miye","Miye Oni","Oni","0.06666666766007741","3","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-110327","PG","Justin","Justin Wright-Foreman","Wright-Foreman","0","0","3500","UTA@LAC","UTA","LAC","","","","",""
"42127-41597","PF","Johnathan","Johnathan Motley","Motley","3.9749999046325684","4","3500","UTA@LAC","LAC","UTA","","","","",""
